,keyword_source,full_name,html_url,create_date,update_date,pushed_date,language,stars,forks,watchers,open_issues,is_fork,topics,description,included_libraries,require_list,source_type,cluster,year,update_year,text
0,"""artificial intelligence"" OR ""computer vision"" OR ""deep learning"" OR ""machine learning"" OR ""image recognition""",hycis/TensorGraph,https://github.com/hycis/TensorGraph,2016-01-06T04:59:00+00:00,2025-05-13T05:42:51+00:00,2021-06-30T04:45:56+00:00,Python,70.0,20.0,70.0,1.0,FALSE,"['tensorflow', 'deep-learning']",A tensorflow library for building all kinds of models,"numpy, pandas, scikit-learn, six","['numpy', 'pandas', 'scikit-learn', 'six']",setup,10,2016,2025,"A tensorflow library for building all kinds of models ['tensorflow', 'deep-learning']"
1,"""artificial intelligence"" OR ""computer vision"" OR ""deep learning"" OR ""machine learning"" OR ""image recognition""",snorkel-team/snorkel,https://github.com/snorkel-team/snorkel,2016-02-26T05:52:45+00:00,2025-05-07T19:55:49+00:00,2024-05-02T18:39:42+00:00,Python,5856.0,856.0,5856.0,16.0,FALSE,"['machine-learning', 'ai', 'weak-supervision', 'labeling', 'data-science', 'python', 'snorkel', 'training-data', 'data-augmentation', 'data-slicing']",A system for quickly generating training data with weak supervision,"munkres, networkx, numpy, pandas, scikit-learn, scipy, tensorboard, torch, tqdm","['black', 'blis', 'dask', 'dill', 'distributed', 'flake8', 'importlib-metadata', 'isort', 'munkres', 'mypy', 'networkx', 'numpy', 'pandas', 'protobuf', 'pydocstyle', 'pytest', 'pytest-cov', 'pytest-doctestplus', 'scikit-learn', 'scipy', 'spacy', 'tensorboard', 'torch', 'tox', 'tqdm']",both,10,2016,2025,"A system for quickly generating training data with weak supervision ['machine-learning', 'ai', 'weak-supervision', 'labeling', 'data-science', 'python', 'snorkel', 'training-data', 'data-augmentation', 'data-slicing']"
2,"""artificial intelligence"" OR ""computer vision"" OR ""deep learning"" OR ""machine learning"" OR ""image recognition""",5hirish/adam_qas,https://github.com/5hirish/adam_qas,2016-02-09T15:18:46+00:00,2025-05-11T05:39:07+00:00,2020-02-06T11:12:36+00:00,Python,354.0,107.0,354.0,9.0,FALSE,"['python', 'spacy', 'natural-language-processing', 'question-answering', 'adam', 'scikit-learn', 'gensim', 'pandas', 'wikipedia', 'elasticsearch', 'spacy-extension']",ADAM - A Question Answering System. Inspired from IBM Watson,"gensim, lxml, pandas, pyenchant, requests, scikit-learn, spacy, wikipedia","['autocorrect', 'dill', 'elasticsearch', 'gensim', 'joblib', 'lxml', 'pandas', 'pyenchant', 'requests', 'scikit-learn', 'spacy', 'wikipedia']",both,1,2016,2025,"ADAM - A Question Answering System. Inspired from IBM Watson ['python', 'spacy', 'natural-language-processing', 'question-answering', 'adam', 'scikit-learn', 'gensim', 'pandas', 'wikipedia', 'elasticsearch', 'spacy-extension']"
3,"""artificial intelligence"" OR ""computer vision"" OR ""deep learning"" OR ""machine learning"" OR ""image recognition""",solarwinds/orionsdk-python,https://github.com/solarwinds/orionsdk-python,2016-02-17T22:26:04+00:00,2025-05-14T17:28:38+00:00,2024-03-11T12:52:18+00:00,Python,217.0,93.0,217.0,25.0,FALSE,[],Python client for interacting with the SolarWinds Orion API,"requests, six","['requests', 'six']",setup,8,2016,2025,Python client for interacting with the SolarWinds Orion API []
4,"""artificial intelligence"" OR ""computer vision"" OR ""deep learning"" OR ""machine learning"" OR ""image recognition""",yhenon/pyimgsaliency,https://github.com/yhenon/pyimgsaliency,2016-02-25T21:13:48+00:00,2025-04-18T14:22:08+00:00,2023-06-27T02:56:50+00:00,Python,172.0,53.0,172.0,7.0,FALSE,['saliency'],A python toolbox for computing image saliency,"networkx, numpy, opencv-python, scikit-image, scipy, sklearn","['networkx', 'numpy', 'opencv-python', 'scikit-image', 'scipy', 'sklearn']",setup,0,2016,2025,A python toolbox for computing image saliency ['saliency']
5,"""artificial intelligence"" OR ""computer vision"" OR ""deep learning"" OR ""machine learning"" OR ""image recognition""",icoxfog417/mlimages,https://github.com/icoxfog417/mlimages,2016-02-20T07:18:24+00:00,2023-06-09T14:26:12+00:00,2022-12-26T20:25:39+00:00,Python,24.0,12.0,24.0,11.0,FALSE,"['computer-vision', 'machine-learning']",prepare the image data set for machine learning,"aiohttp, requests","['aiohttp', 'chainer', 'chardet', 'filelock', 'nose', 'numpy', 'pillow', 'protobuf', 'requests', 'six', 'tqdm', 'wheel']",both,14,2016,2023,"prepare the image data set for machine learning ['computer-vision', 'machine-learning']"
6,"""artificial intelligence"" OR ""computer vision"" OR ""deep learning"" OR ""machine learning"" OR ""image recognition""",tflearn/tflearn,https://github.com/tflearn/tflearn,2016-03-31T12:05:53+00:00,2025-05-08T18:53:55+00:00,2024-05-06T11:34:20+00:00,Python,9617.0,2407.0,9617.0,580.0,FALSE,"['tflearn', 'tensorflow', 'neural-network', 'deep-learning', 'machine-learning', 'data-science']",Deep learning library featuring a higher-level API for TensorFlow.,"numpy, pillow, six","['numpy', 'pillow', 'six']",setup,12,2016,2025,"Deep learning library featuring a higher-level API for TensorFlow. ['tflearn', 'tensorflow', 'neural-network', 'deep-learning', 'machine-learning', 'data-science']"
7,"""artificial intelligence"" OR ""computer vision"" OR ""deep learning"" OR ""machine learning"" OR ""image recognition""",mdbloice/Augmentor,https://github.com/mdbloice/Augmentor,2016-03-01T18:29:55+00:00,2025-05-21T00:35:49+00:00,2024-03-21T14:27:34+00:00,Python,5108.0,868.0,5108.0,141.0,FALSE,"['augmentation', 'machine-learning', 'deep-learning', 'neural-networks']",Image augmentation library in Python for machine learning.,"numpy, pillow, tqdm","['2-7', 'numpy', 'pillow', 'tqdm']",both,10,2016,2025,"Image augmentation library in Python for machine learning. ['augmentation', 'machine-learning', 'deep-learning', 'neural-networks']"
8,"""artificial intelligence"" OR ""computer vision"" OR ""deep learning"" OR ""machine learning"" OR ""image recognition""",fracpete/python-weka-wrapper3,https://github.com/fracpete/python-weka-wrapper3,2016-03-29T20:59:12+00:00,2025-02-15T07:14:21+00:00,2024-12-20T01:05:45+00:00,Python,146.0,29.0,146.0,0.0,FALSE,"['python3', 'weka', 'java', 'machine-learning', 'jpype']",Python 3 wrapper for Weka using JPype.,"jpype1, numpy, packaging","['-e-', 'configurable-objects', 'jpype1', 'numpy', 'packaging', 'simple-data-flow', 'simple-range']",both,8,2016,2025,"Python 3 wrapper for Weka using JPype. ['python3', 'weka', 'java', 'machine-learning', 'jpype']"
9,"""artificial intelligence"" OR ""computer vision"" OR ""deep learning"" OR ""machine learning"" OR ""image recognition""",IEMLdev/ieml,https://github.com/IEMLdev/ieml,2016-03-10T15:46:47+00:00,2025-05-07T15:57:46+00:00,2021-03-08T23:00:17+00:00,Python,57.0,8.0,57.0,9.0,FALSE,"['dictionary', 'semantic', 'usl', 'topic', 'ieml', 'language', 'meaning-representation', 'semantic-relationships', 'natural-language']",IEML semantic language - a meaning-representation system based on semantic primitives and a regular grammar. Basic semantic relationships between concepts are automatically computed from syntactic similarities.,"appdirs, bidict, cached-property, numpy, pandas, ply, pygit2, pyyaml, scipy, tqdm","['-e-', 'appdirs', 'bidict', 'cached-property', 'numpy', 'pandas', 'ply', 'pygit2', 'pylatex', 'pyyaml', 'scipy', 'tqdm']",both,6,2016,2025,"IEML semantic language - a meaning-representation system based on semantic primitives and a regular grammar. Basic semantic relationships between concepts are automatically computed from syntactic similarities. ['dictionary', 'semantic', 'usl', 'topic', 'ieml', 'language', 'meaning-representation', 'semantic-relationships', 'natural-language']"
