full_name,included_libraries
AdamLaurie/rompar,"numpy, pep8, pyflakes, pyqt5, virtualenv"
lukauskas/dtwco,"cython, numpy"
scikit-learn-contrib/sklearn-pandas,"numpy, pandas, scikit-learn, scipy"
menpo/menpo,"matplotlib, numpy, pillow, scipy"
napratin/lumos,"numpy, pyzmq"
druid-io/pydruid,requests
skariel/webalchemy,"beautifulsoup4, docopt, tornado"
Mendeley/mrec,"numpy, scikit-learn, scipy"
mdredze/carmen-python,"geopy, jsonlines"
hannes-brt/hebel,"numpy, pycuda, pyyaml"
perrygeo/pyimpute,"numpy, rasterio, rasterstats, scikit-learn, scipy"
Zulko/easyAI,numpy
Mizzou-CBMI/COSMOS2,"blinker, boto3, decorator, drmaa, flask, funcsigs, more-itertools, networkx, python-dateutil, six, sqlalchemy"
alvations/pywsd,"nltk, numpy, pandas, six, wn"
AlexanderFabisch/gmr,"numpy, scipy"
dronekit/dronekit-python,"monotonic, pymavlink"
sawcordwell/pymdptoolbox,"numpy, scipy"
fracpete/python-weka-wrapper,numpy
erogol/RSOM,"matplotlib, numpy, scikit-learn, torch"
mailgun/talon,"cchardet, chardet, cssselect, html5lib, joblib, lxml, numpy, regex, scikit-learn, scipy, six"
bolme/pyvision,"numpy, opencv-python, pillow, scikit-image, scikit-learn, scipy"
albahnsen/CostSensitiveClassification,"numpy, pandas, scikit-learn"
canard0328/malss,"jinja2, matplotlib, pandas, scikit-learn"
COINtoolbox/CosmoABC,"distribute, matplotlib, numpy, scipy, statsmodels"
fabriziocosta/EDeN,"dill, future, joblib, matplotlib, toolz"
ibayer/fastFM,"cython, numpy, scikit-learn, scipy"
inspirehep/beard,"jellyfish, numpy, scikit-learn, scipy, setuptools-scm, six, structlog, unidecode"
sailthru/relay,"colorlog, numpy"
slinderman/pyhawkes,"joblib, matplotlib, numpy, scikit-learn, scipy"
visualfabriq/bquery,"bcolz, cython, pip, setuptools"
mila-iqia/fuel,"h5py, numpy, pillow, pyyaml, pyzmq, requests, scipy, six, tables"
rodricios/autocomplete,bottle
vitruvianscience/OpenDeep,"numpy, pillow, theano"
bachiraoun/fullrmc,"matplotlib, pdbparser"
trevorstephens/gplearn,"joblib, scikit-learn"
aigamedev/scikit-neuralnetwork,"colorama, lasagne, scikit-learn, theano"
ottogroup/palladium,"docopt, flask, joblib, numpy, pandas, requests, scikit-learn, sqlalchemy, ujson"
donlnz/nonconformist,"numpy, pandas, scikit-learn, scipy"
grrrr/nsgt,numpy
dwkim78/upsilon,"numpy, scikit-learn, scipy"
fabriziocosta/GraphLearn,"networkx, scikit-learn, scipy, toolz"
keiichishima/pcalg,networkx
jon--lee/neuralpy,"matplotlib, numpy"
michaelhush/M-LOOP,"docutils, matplotlib, numpy, pip, pytest, scikit-learn, scipy, tensorflow"
eficode/robotframework-imagehorizonlibrary,"pyautogui, robotframework"
maxpumperla/elephas,"cython, flask, h5py, pyspark, tensorflow"
rcbyron/hey-athena-client,"gtts, pocketsphinx, pyaudio, pyglet, pyyaml, requests, selenium, wolframalpha"
alvarouc/polyssifier,"matplotlib, numpy, pandas, sklearn"
JonathanRaiman/glove,"cython, numpy"
wkiri/DEMUD,"matplotlib, numpy, pillow, scipy"
cmry/omesa,"annoy, bottle, plotly, scikit-learn"
ibmdbanalytics/ibmdbpy,"future, lazy, numpy, pandas, pypyodbc, six"
donnemartin/awesome-aws,"click, colorama"
IraKorshunova/folk-rnn,"lasagne, theano"
properscoring/properscoring,"numpy, scipy"
monkeylearn/monkeylearn-python,"requests, six"
lessthanoptimal/PyBoof,"numpy, py4j, six, transforms3d"
alvarouc/mlp,"keras, numpy, sklearn"
becxer/pytrain,numpy
harshulj/tweetlake,"click, tweepy"
farizrahman4u/seq2seq,keras
tensorflow/skflow,"numpy, scipy, sklearn"
inspirehep/magpie,"gensim, h5py, keras, nltk, numpy, scikit-learn, tensorflow"
MicrosoftResearch/Azimuth,"biopython, matplotlib, nose, numpy, pandas, scikit-learn, scipy"
GGiecold-zz/Concurrent_AP,"numpy, setuptools, sklearn, tables"
amir-zeldes/xrenner,"flair, numpy, scikit-learn, transformers, xgboost, xmltodict"
tjof2/robustpca,"numpy, scikit-learn, scipy"
chengsoonong/crowdastro,"astropy, h5py, keras, matplotlib, numpy, pandas, pymongo, requests, scikit-learn, scipy"
osome-iu/botometer-python,requests
mgraffg/EvoDAG,numpy
adebayoj/fairml,"matplotlib, numpy, pandas, scikit-learn, scipy, seaborn"
hycis/TensorGraph,"numpy, pandas, scikit-learn, six"
snorkel-team/snorkel,"munkres, networkx, numpy, pandas, scikit-learn, scipy, tensorboard, torch, tqdm"
5hirish/adam_qas,"gensim, lxml, pandas, pyenchant, requests, scikit-learn, spacy, wikipedia"
solarwinds/orionsdk-python,"requests, six"
