LIBRARY,FREQUENCY
numpy,979
scipy,457
pandas,446
tqdm,355
torch,352
scikit-learn,338
tensorflow,176
requests,173
pillow,147
pyyaml,118
keras,108
opencv-python,106
six,98
torchvision,96
scikit-image,86
h5py,85
nltk,82
spacy,76
seaborn,73
networkx,72
joblib,67
cython,66
transformers,66
sklearn,63
regex,58
click,54
future,47
tabulate,45
boto3,43
tensorboard,43
termcolor,42
gym,40
cffi,38
numba,38
gensim,37
sacrebleu,36
pytest,34
dill,31
statsmodels,30
tensorboardx,30
cloudpickle,29
python-dateutil,29
packaging,27
sentencepiece,27
beautifulsoup4,26
lxml,25
yacs,25
absl-py,24
flask,24
imageio,24
setuptools,24
ipython,23
tensorflow-gpu,23
pycocotools,20
jinja2,19
pytorch-lightning,19
pytz,19
xgboost,19
jieba,18
sympy,18
biopython,17
colorama,17
einops,17
pydot,17
shapely,17
pyarrow,16
sqlalchemy,16
loguru,15
plotly,15
simpleitk,15
terminaltables,15
urllib3,15
easydict,14
more-itertools,14
nibabel,14
pyparsing,14
attrs,13
certifi,13
filelock,13
gdown,13
gitpython,13
graphviz,13
tensorflow-probability,13
unidecode,13
editdistance,12
ipywidgets,12
jupyter,12
librosa,12
lightgbm,12
tensorflow-addons,12
torchtext,12
bs4,11
chardet,11
jsonschema,11
mock,11
pathos,11
pymongo,11
pyqt5,11
simplejson,11
typing,11
typing-extensions,11
argparse,10
fire,10
omegaconf,10
tokenizers,10
toml,10
xmltodict,10
ase,9
dataclasses,9
emoji,9
gevent,9
google-api-python-client,9
grpcio,9
idna,9
pydicom,9
pygame,9
requests-toolbelt,9
sentence-transformers,9
shap,9
torchaudio,9
umap-learn,9
aiohttp,8
albumentations,8
arrow,8
astropy,8
coloredlogs,8
cvxpy,8
datasets,8
flake8,8
natsort,8
opencv-contrib-python,8
pathlib,8
pysam,8
python-dotenv,8
python-levenshtein,8
soundfile,8
ujson,8
cvxopt,7
cycler,7
docker,7
docopt,7
fasttext,7
google-cloud-storage,7
gunicorn,7
imbalanced-learn,7
jax,7
markupsafe,7
multiprocess,7
opencv-python-headless,7
paramiko,7
prettytable,7
pydantic,7
ruamel-yaml,7
sacred,7
scikit-optimize,7
stanza,7
tables,7
tifffile,7
wrapt,7
xlrd,7
allennlp,6
configparser,6
cytoolz,6
dlib,6
funcsigs,6
humanize,6
importlib-metadata,6
jsonlines,6
jupyterlab,6
kiwisolver,6
metric-learn,6
mlflow,6
moviepy,6
ply,6
portalocker,6
pydub,6
pygments,6
redis,6
rich,6
sphinx,6
tensorflow-datasets,6
werkzeug,6
appdirs,5
bokeh,5
cachetools,5
chainer,5
colorlog,5
configargparse,5
coverage,5
dask,5
decorator,5
docutils,5
flair,5
gpytorch,5
imgaug,5
jsonpickle,5
lmdb,5
markdown,5
num2words,5
openpyxl,5
pymatgen,5
pytorch-pretrained-bert,5
sphinx-rtd-theme,5
timm,5
tinydb,5
transforms3d,5
wheel,5
xarray,5
accelerate,4
annoy,4
botocore,4
colour,4
conllu,4
datasketch,4
dateparser,4
deprecated,4
django,4
elasticsearch,4
faiss-gpu,4
fastapi,4
fuzzywuzzy,4
imagesize,4
importlib-resources,4
ipdb,4
itsdangerous,4
mlblocks,4
mne,4
monty,4
numexpr,4
onnx,4
pickleshare,4
portpicker,4
praat-parselmouth,4
pybind11,4
pyglet,4
pylint,4
pyopengl,4
pytest-cov,4
python-crfsuite,4
pyzmq,4
rdflib,4
rdkit,4
retrying,4
rouge-score,4
sacremoses,4
textblob,4
uvicorn,4
websocket-client,4
wordcloud,4
xxhash,4
aiofiles,3
alembic,3
autograd,3
bcolz,3
bz2file,3
cached-property,3
captum,3
cmake,3
colorcet,3
comet-ml,3
cryptography,3
distance,3
enum34,3
fairseq,3
flashtext,3
flask-sqlalchemy,3
fsspec,3
ftfy,3
geopandas,3
geopy,3
gluonnlp,3
google-auth,3
google-auth-httplib2,3
google-auth-oauthlib,3
googletrans,3
humanfriendly,3
ipykernel,3
isort,3
lightning,3
motmetrics,3
mpmath,3
mypy,3
mypy-extensions,3
ninja,3
notebook,3
oauth2client,3
opt-einsum,3
paho-mqtt,3
pdfminer-six,3
peakutils,3
pint,3
plyfile,3
pooch,3
pretrainedmodels,3
progressbar,3
prometheus-client,3
psycopg2,3
py,3
pyahocorasick,3
pybtex,3
pycparser,3
pykalman,3
pypinyin,3
pypng,3
pyqt6,3
pyro-ppl,3
pyspark,3
pysrt,3
pytesseract,3
python-telegram-bot,3
pytorch-transformers,3
rapidfuzz,3
rasterio,3
rdkit-pypi,3
safetensors,3
schema,3
selenium,3
sortedcontainers,3
sounddevice,3
stop-words,3
theano,3
toposort,3
tox,3
traitlets,3
twine,3
twisted,3
typeguard,3
wcwidth,3
websockets,3
wordsegment,3
xlsxwriter,3
aicsimageio,2
anndata,2
apache-beam,2
astor,2
astroquery,2
atoma,2
baytune,2
bert-score,2
bitarray,2
blinker,2
bottle,2
cairosvg,2
casadi,2
catboost,2
category-encoders,2
cclib,2
cerberus,2
compress-pickle,2
contextlib2,2
daiquiri,2
dash,2
dash-core-components,2
dash-html-components,2
dicom2nifti,2
diskcache,2
distributed,2
dm-control,2
docstring-parser,2
dominate,2
dopamine-rl,2
dpu-utils,2
elasticsearch-dsl,2
fabric,2
facenet-pytorch,2
faiss-cpu,2
faker,2
fastai,2
fastdtw,2
fastparquet,2
feather-format,2
featuretools,2
filetype,2
flask-wtf,2
fluent-logger,2
fs,2
gast,2
gcsfs,2
geojson,2
glfw,2
googledrivedownloader,2
gpustat,2
grad-cam,2
gtts,2
gurobipy,2
gymnasium,2
huggingface-hub,2
ijson,2
imagecodecs,2
imagehash,2
jedi,2
jellyfish,2
justext,2
keras-applications,2
keyring,2
klein,2
kubernetes,2
langdetect,2
lemminflect,2
libcst,2
marshmallow,2
matminer,2
matplotlib-inline,2
mdtraj,2
memory-profiler,2
mido,2
mir-eval,2
mlagents-envs,2
mlprimitives,2
moderngl,2
msgpack-numpy,2
mss,2
multiprocessing-logging,2
mutagen,2
navec,2
nbformat,2
netifaces,2
nevergrad,2
nose,2
oauthlib,2
onnxruntime,2
opfunu,2
pandas-datareader,2
parso,2
path,2
pathlib2,2
patool,2
pdf2image,2
pdfplumber,2
pep8,2
phonenumbers,2
plac,2
pluggy,2
polygon3,2
powerlaw,2
pubchempy,2
py-cpuinfo,2
pybullet,2
pycodestyle,2
pydocstyle,2
pyemd,2
pyfaidx,2
pyfiglet,2
pyjks,2
pyjnius,2
pyjwt,2
pymc3,2
pymorphy2,2
pymysql,2
pyomo,2
pyopengl-accelerate,2
pyqtgraph,2
pyreadline,2
pyrsistent,2
pyserial,2
pysnooper,2
pysparkling,2
pytest-mock,2
pytest-shutil,2
python-docx,2
python-json-logger,2
python-magic,2
pytorch-ignite,2
pyunpack,2
pywavelets,2
qtpy,2
rake-nltk,2
rarfile,2
razdel,2
rouge,2
rsa,2
s3fs,2
schedule,2
scikit-plot,2
scispacy,2
simplegeneric,2
simpy,2
slackclient,2
slate3k,2
smart-open,2
soupsieve,2
spectral,2
sqlparse,2
streamlit,2
t5,2
tblib,2
tensorflow-estimator,2
textacy,2
texttable,2
textwrap3,2
threadpoolctl,2
tldextract,2
toolz,2
torch-geometric,2
torchmetrics,2
tornado,2
trafilatura,2
treelib,2
trimesh,2
tweepy,2
typed-argument-parser,2
typer,2
uuid,2
wand,2
wavio,2
whatthepatch,2
yfinance,2
abstract,1
adafruit-ssd1306,1
addict,1
aif360,1
aiobotocore,1
aiodns,1
aiohttp-retry,1
aiojobs,1
alpha-transform,1
anytree,1
apache-libcloud,1
arcade,1
argcomplete,1
arxiv,1
asap3,1
asn1crypto,1
astroid,1
astroplan,1
async-generator,1
async-timeout,1
asyncio,1
aucmedi,1
autobahn,1
autopep8,1
autoray,1
av,1
awscli,1
babel,1
bayespy,1
bcrypt,1
behave,1
bertopic,1
betacal,1
bibtexparser,1
bidict,1
bilby,1
binarytree,1
bindsnet,1
bleach,1
bleak,1
blis,1
botok,1
braceexpand,1
braindecode,1
build,1
cache-decorator,1
carla,1
ccxt,1
celer,1
celery,1
celluloid,1
cement,1
cfn-flip,1
channels,1
chart-studio,1
checksumdir,1
cheetah3,1
chemparse,1
chemprop,1
chinesecalendar,1
ciff-toolkit,1
ciso8601,1
clean-text,1
click-log,1
cloudml-hypertune,1
cloudscraper,1
cluster-pack,1
cmocean,1
cn2an,1
coinbase,1
coinmarketcap,1
colormath,1
compatibility,1
compress-json,1
conceptnet-lite,1
connexion,1
corner,1
country-converter,1
crepe,1
croniter,1
crossref-commons,1
csbdeep,1
ctranslate2,1
cupy,1
cymem,1
cython-bbox,1
czifile,1
dace,1
daft,1
dash-table,1
datatable,1
dateutils,1
deeprobust,1
deepspeech,1
deplacy,1
deprecation,1
descartes,1
devtools,1
distro,1
diversipy,1
django-cors-headers,1
django-environ,1
django-filter,1
djangorestframework,1
dkpro-cassis,1
dm-sonnet,1
docker-compose,1
download,1
duckdb,1
dulwich,1
dynesty,1
e3nn,1
eagerpy,1
easygui,1
edit-distance,1
elasticdeform,1
emcee,1
emmental,1
energyusage,1
envyaml,1
epc,1
ete3,1
fa2l,1
face-detection,1
face-recognition-models,1
falcon,1
fancyimpute,1
farasapy,1
fast-ctc-decode,1
fastprogress,1
fbprophet,1
fcd-torch,1
feast,1
feedparser,1
ffmpeg-python,1
fitsio,1
flask-compress,1
flask-jwt-extended,1
flask-migrate,1
flask-script,1
flatbuffers,1
foolbox,1
fugue,1
funcy,1
futures,1
fuzzyfinder,1
g2p-en,1
gdal,1
genicam,1
geocoder,1
german-lemmatizer,1
globus-sdk,1
gltflib,1
gooey,1
google-cloud-translate,1
graph-nets,1
graphtools,1
greenlet,1
grequests,1
grpcio-testing,1
grpcio-tools,1
gsutil,1
gwosc,1
gwpy,1
halo,1
haversine,1
hdbscan,1
hdx-python-api,1
highdicom,1
hnswlib,1
holoviews,1
hrv-analysis,1
html5lib,1
hunspell,1
hvac,1
hyper,1
igraph,1
ikpy,1
imagecorruptions,1
influxdb,1
inquirer,1
install-requires,1
ipyevents,1
ipyvolume,1
jams,1
jaydebeapi,1
