total_index,keyword_source,full_name,html_url,create_date,update_date,pushed_date,language,stars,forks,watchers,open_issues,is_fork,topics,description
0,"""agentic AI""",USC-CSCI527-Spring2021/Phoenix,https://github.com/USC-CSCI527-Spring2021/Phoenix,2021-02-08T06:44:43+00:00,2025-04-28T16:34:26+00:00,2021-05-05T07:26:10+00:00,Python,16,3,16,0,False,[],
1,"""agentic AI""",dylanhogg/awesome-crypto,https://github.com/dylanhogg/awesome-crypto,2021-09-27T01:28:41+00:00,2025-02-24T04:51:57+00:00,2024-02-23T03:56:42+00:00,Python,74,13,74,0,False,"['crypto', 'cryptocurrency', 'blockchain', 'bitcoin', 'ethereum', 'awesome-list', 'data', 'data-analysis', 'github', 'awesome']",A list of awesome crypto and blockchain projects
2,"""agentic AI""",multi-agent-ai/examples,https://github.com/multi-agent-ai/examples,2022-11-30T12:56:34+00:00,2025-02-13T07:01:13+00:00,2023-01-28T11:24:16+00:00,Python,13,7,13,0,False,[],
3,"""agentic AI""",bryanat/Reinforcement-Learning-Unity-3D-Packing,https://github.com/bryanat/Reinforcement-Learning-Unity-3D-Packing,2022-12-04T02:21:48+00:00,2025-03-28T13:17:24+00:00,2024-08-22T10:57:38+00:00,Python,17,7,17,7,False,"['deep-reinforcement-learning', 'reinforcement-learning', 'pytorch', 'unity-ml-agents', 'unity', 'machine-learning']",3D Packing with Deep Reinforcement Learning  using Unity ML-Agents (AI)
4,"""agentic AI""",bigsky77/twitter-agent,https://github.com/bigsky77/twitter-agent,2023-04-19T13:20:13+00:00,2025-05-17T16:29:46+00:00,2024-08-07T03:31:00+00:00,Python,162,29,162,3,False,"['agi', 'gpt-3', 'langchain', 'openai', 'twitter']",Build AI-powered Agents for Twitter🐣
5,"""agentic AI""",microsoft/azure-genai-design-patterns,https://github.com/microsoft/azure-genai-design-patterns,2023-05-08T16:53:34+00:00,2025-05-20T05:28:50+00:00,2024-10-14T16:53:03+00:00,Python,661,116,661,23,False,[],
6,"""agentic AI""",VitalPBX/vitalpbx_agent_ai,https://github.com/VitalPBX/vitalpbx_agent_ai,2023-10-09T11:23:27+00:00,2025-03-14T21:45:22+00:00,2024-01-24T13:37:34+00:00,Python,18,11,18,3,False,[],"VitalPBX - AI Agent with OpenAI ChatGPT, Whisper and Microsoft Azure AI Speech (TTS)"
7,"""agentic AI""",agiresearch/WarAgent,https://github.com/agiresearch/WarAgent,2023-11-14T21:28:48+00:00,2025-05-22T07:28:58+00:00,2024-03-05T17:56:29+00:00,Python,267,35,267,0,False,[],WarAgent: LLM-based Multi-Agent Simulation of World Wars
8,"""agentic AI""",elder-plinius/Leda,https://github.com/elder-plinius/Leda,2023-12-20T00:39:04+00:00,2025-05-20T21:13:29+00:00,2023-12-22T18:05:56+00:00,Python,64,14,64,0,False,[],
9,"""agentic AI""",Norditech-AB/STELLA,https://github.com/Norditech-AB/STELLA,2023-12-27T17:41:41+00:00,2024-11-12T18:18:12+00:00,2024-02-02T15:10:20+00:00,Python,23,1,23,4,False,"['ai', 'chatgpt', 'conversational-agents', 'conversational-ai', 'large-language-models', 'multi-agent-systems', 'open-source', 'openai', 'python', 'workflow-automation']",Stella - A scalable platform for creating and managing AI agents
10,"""agentic AI""",shellc/iauto,https://github.com/shellc/iauto,2024-01-24T16:51:44+00:00,2025-05-12T09:46:41+00:00,2024-11-22T14:41:52+00:00,Python,87,10,87,0,False,"['appium', 'automation', 'llm', 'playwright', 'ai', 'autogen', 'agents']",iauto is a low-code engine for building and deploying AI agents
11,"""agentic AI""",Mamdouh66/Extracty,https://github.com/Mamdouh66/Extracty,2024-01-28T17:57:30+00:00,2025-03-12T07:04:19+00:00,2024-03-30T01:02:27+00:00,Python,40,4,40,1,False,"['extract-data', 'instructor', 'pydantic', 'scraper', 'scraping', 'llm-scraper']",Extract structured data from any unstructured web page
12,"""agentic AI""",daveey/metta,https://github.com/daveey/metta,2024-01-13T01:11:16+00:00,2025-03-28T04:15:30+00:00,2024-09-08T23:41:59+00:00,Python,21,1,21,0,False,[],
13,"""agentic AI""",stephenc222/example-crewai,https://github.com/stephenc222/example-crewai,2024-01-13T04:03:31+00:00,2025-05-13T03:04:06+00:00,2024-01-13T18:20:04+00:00,Python,15,6,15,0,False,[],Example project demonstrating CrewAI
14,"""agentic AI""",swadhinbiswas/TheProfessor,https://github.com/swadhinbiswas/TheProfessor,2024-01-29T02:15:01+00:00,2025-01-25T17:59:24+00:00,2024-02-10T18:00:49+00:00,Python,13,0,13,0,False,[],TheProfessor is an Agentic AI System to Fight against  CopyCats
15,"""agentic AI""",djyogi/social-agent,https://github.com/djyogi/social-agent,2024-01-11T08:04:05+00:00,2025-03-11T06:59:08+00:00,2024-01-16T01:39:07+00:00,Python,11,0,11,0,False,[],LLM-based AI agent that allows you to transform any source content into many other forms of social media content
16,"""agentic AI""",stitionai/devika,https://github.com/stitionai/devika,2024-03-21T03:03:21+00:00,2025-05-22T09:15:56+00:00,2024-09-19T16:11:25+00:00,Python,19267,2550,19267,186,False,[],"Devika is an Agentic AI Software Engineer that can understand high-level human instructions, break them down into steps, research relevant information, and write code to achieve the given objective. Devika aims to be a competitive open-source alternative to Devin by Cognition AI. [⚠️ DEVIKA DOES NOT HAVE AN OFFICIAL WEBSITE ⚠️]"
17,"""agentic AI""",harpreetsahota204/awesome-cvpr-2024,https://github.com/harpreetsahota204/awesome-cvpr-2024,2024-03-28T19:59:04+00:00,2025-03-25T13:30:03+00:00,2024-06-13T18:16:13+00:00,Python,142,9,142,0,False,"['awesome', 'awesome-list', 'awesome-lists', 'awesome-readme', 'computervision', 'cvpr', 'cvpr2024', 'diffusion', 'multimodal']","🤩 An AWESOME Curated List of Papers, Workshops, Datasets, and Challenges from CVPR 2024"
18,"""agentic AI""",salah9003/Automated-Vulnerability-Scanning-with-Agentic-AI,https://github.com/salah9003/Automated-Vulnerability-Scanning-with-Agentic-AI,2024-03-26T03:03:03+00:00,2025-04-28T11:26:48+00:00,2024-04-06T22:01:20+00:00,Python,43,12,43,4,False,"['agent', 'ai', 'ai-agents', 'security']","The system consists of multiple AI agents that collaborate to strategize, generate commands, and execute scans based on the client's description, without the need for human intervention."
19,"""agentic AI""",alejandro-ao/crewai-instagram-example,https://github.com/alejandro-ao/crewai-instagram-example,2024-04-11T14:19:49+00:00,2025-05-07T10:06:52+00:00,2024-04-17T08:00:41+00:00,Python,97,50,97,2,False,[],Example inspired by @joaomdmoura sample project
20,"""agentic AI""",felixggj/multi-agent-ai-newsletter,https://github.com/felixggj/multi-agent-ai-newsletter,2024-04-13T13:31:48+00:00,2025-04-04T11:35:55+00:00,2024-04-16T18:57:12+00:00,Python,24,4,24,0,False,"['agents', 'artificial-intelligence', 'crewai', 'llms', 'prompt-engineering', 'automation', 'langchain', 'openai', 'ai-agent', 'groq']",Multi-Agent AI system that automatically retrieves the latest Football news and creates a newsletter
21,"""agentic AI""",bhancockio/bhancockio-crewai-plus-crash-course,https://github.com/bhancockio/bhancockio-crewai-plus-crash-course,2024-04-20T18:25:59+00:00,2025-02-07T22:51:33+00:00,2024-04-21T16:17:41+00:00,Python,13,14,13,0,False,[],
22,"""agentic AI""",AgentEra/Agently-Daily-News-Collector,https://github.com/AgentEra/Agently-Daily-News-Collector,2024-05-01T08:21:24+00:00,2025-05-21T05:08:00+00:00,2024-10-22T03:17:44+00:00,Python,523,85,523,7,False,"['llm-agent', 'llm-agents', 'llm-application', 'llm-apps', 'news', 'news-agent', 'search-agent']",An open-source LLM based automatically daily news collecting workflow showcase powered by Agently AI application development framework.
23,"""agentic AI""",lamm-mit/Cephalo-Phi-3-Vision-MoE,https://github.com/lamm-mit/Cephalo-Phi-3-Vision-MoE,2024-05-31T21:45:44+00:00,2025-04-23T08:49:00+00:00,2024-06-09T19:10:41+00:00,Python,12,2,12,0,False,[],
24,"""agentic AI""",panaversity/learn-agentic-ai-cloud,https://github.com/panaversity/learn-agentic-ai-cloud,2024-06-12T07:59:16+00:00,2025-05-21T11:08:35+00:00,2024-07-14T20:53:48+00:00,Python,42,21,42,0,False,[],
25,"""agentic AI""",hanantabak2/crewai_ai_business_consultant_on_streamlit,https://github.com/hanantabak2/crewai_ai_business_consultant_on_streamlit,2024-06-05T10:11:40+00:00,2025-05-02T18:23:35+00:00,2024-07-05T12:01:00+00:00,Python,17,4,17,0,False,[],A multi-agent business consultant app on streamlit implemented using crewAI
26,"""agentic AI""",rafael-zilberman/device-maintenance-monitor-custom-component,https://github.com/rafael-zilberman/device-maintenance-monitor-custom-component,2024-06-14T04:11:13+00:00,2024-11-08T14:18:03+00:00,2025-01-13T18:51:45+00:00,Python,16,1,16,12,False,"['hacs', 'homeassistant']",Home Assistant custom component to monitor and manage device maintenance.
27,"""agentic AI""",joaomdmoura/self-development,https://github.com/joaomdmoura/self-development,2024-06-04T22:13:36+00:00,2024-08-30T12:09:30+00:00,2024-06-04T22:14:03+00:00,Python,13,1,13,0,False,[],
28,"""agentic AI""",Josephrp/EasyRealEstate,https://github.com/Josephrp/EasyRealEstate,2024-06-05T11:35:02+00:00,2025-02-23T19:20:08+00:00,2024-06-11T23:02:11+00:00,Python,11,8,11,1,False,"['autogen', 'chroma', 'python', 'real-estate']",multi agent team with coding and data analysis capability to structure real estate investment plans and help with decision making.
29,"""agentic AI""",HackerCupAI/starter-kits,https://github.com/HackerCupAI/starter-kits,2024-07-10T16:43:20+00:00,2025-02-11T19:43:39+00:00,2024-10-08T16:04:07+00:00,Python,64,4,64,0,False,[],
30,"""agentic AI""",AttuneIntelligence/redis-agent,https://github.com/AttuneIntelligence/redis-agent,2024-07-18T23:26:59+00:00,2025-02-28T22:50:04+00:00,2024-07-24T19:36:50+00:00,Python,26,2,26,0,False,[],Agential AI with asynchronous function execution in a Redis queue.
31,"""agentic AI""",alexnodeland/crewlit,https://github.com/alexnodeland/crewlit,2024-07-05T20:02:35+00:00,2025-04-05T15:52:58+00:00,2024-07-06T16:50:40+00:00,Python,24,4,24,1,False,"['llm', 'multi-agent-systems', 'retrieval-augmented-generation', 'webapp']","🚣 Crewlit brings the power of CrewAI to your browser, making multi-agent AI systems accessible to everyone."
32,"""agentic AI""",jdhruv1503/Brainiac,https://github.com/jdhruv1503/Brainiac,2024-07-07T03:31:57+00:00,2025-05-21T08:24:02+00:00,2024-07-23T21:51:30+00:00,Python,21,12,21,2,False,"['agentic', 'algorithmic-trading', 'automated-trading', 'backtesting', 'financial-research', 'langchain', 'llamaindex', 'quantitative-finance', 'worldquant-brain']",Agentic AI-driven Quantitative Alpha Builder. Streamline alpha generation with autonomous research navigation and backtesting.
33,"""agentic AI""",Netizine/GraphRAG_AutoGen,https://github.com/Netizine/GraphRAG_AutoGen,2024-07-26T09:05:04+00:00,2025-05-16T12:39:23+00:00,2024-07-29T14:33:42+00:00,Python,11,3,11,0,False,[],"Microsoft’s GraphRAG with AutoGen, Ollama and Chainlit to run a local Multi-Agent RAG bot"
34,"""agentic AI""",joaomdmoura/tailor-resumes,https://github.com/joaomdmoura/tailor-resumes,2024-07-03T05:22:57+00:00,2024-08-30T12:07:56+00:00,2024-07-03T05:50:31+00:00,Python,10,6,10,0,False,[],
35,"""agentic AI""",karthik-codex/autogen_FEA,https://github.com/karthik-codex/autogen_FEA,2024-08-04T19:57:16+00:00,2025-05-12T00:50:38+00:00,2024-08-04T20:05:34+00:00,Python,33,9,33,0,False,[],Conversational agents for engineering simulations with minimal human input using Microsoft AutoGen & GPT-4o.
36,"""agentic AI""",Jayshah25/Stock-Analysis-Crew,https://github.com/Jayshah25/Stock-Analysis-Crew,2024-08-03T11:28:21+00:00,2025-04-16T13:53:48+00:00,2024-08-13T06:41:25+00:00,Python,15,7,15,0,False,[],
37,"""agentic AI""",livosr/livosr-GLM4-Agent-RAG-tianchi,https://github.com/livosr/livosr-GLM4-Agent-RAG-tianchi,2024-08-17T16:57:39+00:00,2025-04-18T05:58:26+00:00,2024-10-23T03:23:19+00:00,Python,14,3,14,1,False,[],阿里云天池 - GLM 法律行业大模型挑战赛 - 我们小组实现基于大模型的对话机器人源码
38,"""agentic AI""",PrateekJannu/Zen,https://github.com/PrateekJannu/Zen,2024-08-08T22:50:49+00:00,2025-03-17T15:55:29+00:00,2024-08-10T17:50:10+00:00,Python,10,3,10,0,False,"['agent-based-framework', 'generative-ai', 'llm', 'llm-agent', 'software-agents']",Agentic AI Software Engineer that can convert natural language to executable code
39,"""agentic AI""",AgentEra/Agently-Talk-to-Control,https://github.com/AgentEra/Agently-Talk-to-Control,2024-09-04T15:56:54+00:00,2025-05-21T05:08:02+00:00,2024-09-20T14:22:11+00:00,Python,28,5,28,0,False,[],An open-source chat text to control actions agentic workflow framework/showcase powered by Agently AI application development framework.
40,"""agentic AI""",diegovelilla/AutoREADME,https://github.com/diegovelilla/AutoREADME,2024-09-10T12:23:14+00:00,2025-05-13T15:06:18+00:00,2024-10-02T21:53:08+00:00,Python,22,2,22,0,False,[],AutoREADME is an AI-powered tool that genereates a README file for any given input repository.
41,"""agentic AI""",thomasturek/aquinas,https://github.com/thomasturek/aquinas,2024-09-14T12:08:17+00:00,2025-05-08T08:35:54+00:00,2024-09-15T19:19:42+00:00,Python,19,10,19,1,False,[],
42,"""agentic AI""",joshpocock/Stride-AI-Agents,https://github.com/joshpocock/Stride-AI-Agents,2024-10-06T23:26:53+00:00,2025-05-14T15:45:18+00:00,2024-10-15T11:36:22+00:00,Python,316,116,316,1,False,"['agents', 'ai', 'aiagent', 'aiagents', 'n8n', 'python']",This Repo Is In Development. It will slowly but surely become one of the most potent repos available for open source AI agent code for n8n and other use cases that I cover in my YouTube videos. Star the repo to support and to stay up-to-date. Book a call with my team if you want AI agent DFY.
43,"""agentic AI""",RAGformation/RAGformation,https://github.com/RAGformation/RAGformation,2024-10-12T19:21:15+00:00,2025-04-27T03:43:06+00:00,2024-10-27T21:18:18+00:00,Python,32,8,32,2,False,"['agents', 'genai', 'hackathon-project', 'llamaindex', 'box', 'pinecone']","Tailored cloud solutions based on use case, cost, and preferences using natural language with Agentic AI to research, design, price, diagram, and report an optimized result."
44,"""agentic AI""",dendrite-systems/langchain-dendrite-competition-analysis-agent,https://github.com/dendrite-systems/langchain-dendrite-competition-analysis-agent,2024-10-15T09:40:09+00:00,2025-03-07T20:21:55+00:00,2024-10-22T16:06:37+00:00,Python,17,3,17,1,False,[],
45,"""agentic AI""",automateyournetwork/Cisco_Multi_AI_Agent,https://github.com/automateyournetwork/Cisco_Multi_AI_Agent,2024-10-04T17:48:05+00:00,2025-04-18T13:14:51+00:00,2024-10-05T17:30:12+00:00,Python,10,0,10,0,False,[],AI Agent using Resoning and Actions (ReAct) Multi AI Agent system for Cisco Systems
46,"""agentic AI""",AIAnytime/Multi-Agents-System-from-Scratch,https://github.com/AIAnytime/Multi-Agents-System-from-Scratch,2024-11-13T05:09:40+00:00,2025-05-16T08:54:37+00:00,2024-11-13T13:29:45+00:00,Python,52,27,52,0,False,"['agents', 'ai', 'aiagents', 'crewai']",Multi AI Agents System from Scratch in pure python without any frameworks.
47,"""agentic AI""",AIAnytime/AI-Agents-from-Scratch-using-Ollama,https://github.com/AIAnytime/AI-Agents-from-Scratch-using-Ollama,2024-11-14T15:49:51+00:00,2025-05-20T23:34:29+00:00,2024-11-14T17:30:14+00:00,Python,44,12,44,0,False,[],AI Agents from Scratch using Ollama Local LLMs.
48,"""agentic AI""",bhancockio/youtube-idea-generator-crew,https://github.com/bhancockio/youtube-idea-generator-crew,2024-11-07T14:28:48+00:00,2025-05-21T20:20:59+00:00,2024-11-07T14:29:10+00:00,Python,11,22,11,0,False,[],
49,"""agentic AI""",shivamim/Finance_AgenticAI,https://github.com/shivamim/Finance_AgenticAI,2024-12-28T16:20:01+00:00,2025-05-11T15:44:23+00:00,2024-12-28T20:08:54+00:00,Python,40,19,40,0,False,[],"Financial Agentic AI redefines financial analysis by integrating cutting-edge AI with real-time web search capabilities. This multi-agent system brings together financial insights and web intelligence to deliver precise, actionable, and up-to-date stock market information, all tailored to your needs."
50,"""agentic AI""",whitew1994WW/AgenticDataAnalysis,https://github.com/whitew1994WW/AgenticDataAnalysis,2024-12-28T09:20:21+00:00,2025-05-22T03:28:06+00:00,2024-12-28T09:22:40+00:00,Python,38,24,38,1,False,[],Perform Data Analysis using Agentic AI - The code to accompany my youtube video
51,"""agentic AI""",LazaUK/AIFoundry-AgentService-Streamlit,https://github.com/LazaUK/AIFoundry-AgentService-Streamlit,2024-12-21T23:11:15+00:00,2025-03-20T09:17:13+00:00,2024-12-31T18:50:37+00:00,Python,28,14,28,1,False,"['agent', 'ai', 'azure', 'demo-kit', 'foundry', 'service', 'streamlit', 'bing-search', 'code-interpreter']",Streamlit-based UI Demo Kit app to showcase capabilities of Azure AI Foundry's Agent Service framework.
52,"""agentic AI""",KennyVaneetvelde/persistent-memory-agent-example,https://github.com/KennyVaneetvelde/persistent-memory-agent-example,2024-12-06T09:32:51+00:00,2025-05-09T10:44:06+00:00,2024-12-15T13:23:29+00:00,Python,23,6,23,0,False,[],An example showcasing how to create an agent with persistent long-term memory using Atomic Agents
53,"""agentic AI""",rehan-dev/ai-call-agent,https://github.com/rehan-dev/ai-call-agent,2024-12-12T16:40:32+00:00,2025-05-21T08:27:28+00:00,2024-12-26T18:23:16+00:00,Python,21,11,21,1,False,"['agent', 'ai-agent', 'calling-api', 'fastapi', 'openai', 'openai-api', 'openai-api-python', 'openai-realtime-api', 'python', 'twilio', 'voice-api']",AI-powered voice calling agent using OpenAI's Realtime API and Twilio
