total_index,keyword_source,full_name,html_url,create_date,update_date,pushed_date,language,stars,forks,watchers,open_issues,is_fork,topics,description
0,"""causal AI""",dbstjswo505/WMRN,https://github.com/dbstjswo505/WMRN,2021-06-23T09:15:56+00:00,2025-05-02T10:10:31+00:00,2021-12-13T07:38:03+00:00,Python,28,11,28,4,False,[],Weakly-Supervised Moment Retrieval Network for Video Corpus Moment Retrieval
1,"""causal AI""",thangvubk/SphereRPN,https://github.com/thangvubk/SphereRPN,2021-10-12T11:19:11+00:00,2024-07-24T11:50:18+00:00,2021-12-14T05:54:25+00:00,Python,14,12,14,4,False,[],
2,"""causal AI""",thanhkaist/CCFDM1,https://github.com/thanhkaist/CCFDM1,2021-10-11T07:11:57+00:00,2024-12-19T03:44:28+00:00,2021-12-28T11:39:45+00:00,Python,13,12,13,0,False,"['reinforcement-learning', 'deep-reinforcement-learning', 'pytorch', 'deep-learning']",CCFDM reinforcement learning
3,"""causal AI""",uio-bmi/CausalAIRR,https://github.com/uio-bmi/CausalAIRR,2021-10-12T11:52:59+00:00,2024-10-16T19:31:27+00:00,2023-08-22T12:30:38+00:00,Python,10,1,10,0,False,[],
4,"""causal AI""",thangvubk/SoftGroup,https://github.com/thangvubk/SoftGroup,2022-03-03T04:15:39+00:00,2025-05-21T08:05:00+00:00,2024-01-22T03:29:57+00:00,Python,380,79,380,99,False,"['3d-instance-segmentation', '3d-object-detection', 'point-cloud', 'scannet', 's3dis', 'panoptic-segmentation', 'semantic-kitti']",[CVPR 2022 Oral] SoftGroup for Instance Segmentation on 3D Point Clouds
5,"""causal AI""",ChaoningZhang/Dual-temperature,https://github.com/ChaoningZhang/Dual-temperature,2022-03-28T11:32:37+00:00,2025-01-09T23:21:34+00:00,2022-12-01T05:26:54+00:00,Python,29,2,29,1,False,[],This is official repository for Dual Temperature Helps Contrastive Learning without Many Negative Samples (CVPR2022)
6,"""causal AI""",dbstjswo505/SQuiDNet,https://github.com/dbstjswo505/SQuiDNet,2022-07-14T06:31:22+00:00,2025-05-02T13:41:34+00:00,2022-11-23T06:46:57+00:00,Python,39,8,39,6,False,[],
7,"""causal AI""",dbstjswo505/DSDA,https://github.com/dbstjswo505/DSDA,2022-08-22T04:44:28+00:00,2025-05-02T13:41:30+00:00,2022-11-30T08:33:47+00:00,Python,18,8,18,0,False,[],Dual-scale Doppler Attention for Human Identification
8,"""causal AI""",tunglm2203/lsf_idm,https://github.com/tunglm2203/lsf_idm,2022-11-22T01:57:24+00:00,2024-12-21T11:05:38+00:00,2024-12-21T11:05:35+00:00,Python,13,9,13,0,False,[],
9,"""causal AI""",trungpx/lad,https://github.com/trungpx/lad,2022-11-23T14:06:24+00:00,2024-12-12T07:11:49+00:00,2022-11-25T09:53:24+00:00,Python,11,8,11,0,False,[],"[IEEE Access 2022] AI for detecting BPPV disorders specified by beatings, torsional movements of the eyes"
10,"""causal AI""",hee-suk-yoon/ESD,https://github.com/hee-suk-yoon/ESD,2023-02-03T17:44:35+00:00,2024-06-12T14:53:23+00:00,2024-06-12T14:53:19+00:00,Python,16,12,16,0,False,[],[ICLR'23] ESD: Expected Squared Difference as a Tuning-Free Trainable Calibration Measure
11,"""causal AI""",dbstjswo505/HEAR,https://github.com/dbstjswo505/HEAR,2023-11-27T19:23:51+00:00,2025-05-02T10:10:14+00:00,2023-12-23T14:47:32+00:00,Python,19,10,19,1,False,[],"HEAR: Hearing Enhanced Audio Response for Video-grounded Dialogue, EMNLP 2023 (long, findings) [STARLAB] Audio Enhancement for video-dialogue system "
12,"""causal AI""",dbstjswo505/FRAG,https://github.com/dbstjswo505/FRAG,2024-05-31T08:55:43+00:00,2025-05-01T10:35:00+00:00,2024-09-18T06:58:45+00:00,Python,35,12,35,0,False,[],FRAG: Frequency Adaptive Group for Diffusion Video Editing (ICML 2024)
13,"""causal AI""",trungpx/xmdpt,https://github.com/trungpx/xmdpt,2024-05-15T08:16:49+00:00,2025-02-06T13:15:52+00:00,2024-11-05T10:57:58+00:00,Python,28,5,28,2,False,"['diffusion-models', 'generative-ai', 'state-of-the-art-models', 'conditional-diffusion', 'human-image-synthesis', 'xmdpt']","ICML 2024, Official Implementation of ""Cross-view Masked Diffusion Transformers for Person Image Synthesis."""
14,"""causal AI""",hee-suk-yoon/BI-MDRG,https://github.com/hee-suk-yoon/BI-MDRG,2024-07-02T10:41:29+00:00,2025-05-21T10:12:21+00:00,2024-11-19T11:02:57+00:00,Python,16,5,16,0,False,['multimodal-dialogue'],"[ECCV'24] Official code for ""BI-MDRG: Bridging Image History in Multimodal Dialogue Response Generation"""
