total_index,keyword_source,full_name,html_url,create_date,update_date,pushed_date,language,stars,forks,watchers,open_issues,is_fork,topics,description
0,"""explainable AI""",NUHS-NUS-SpineAI/SpineAI-Detect-Classify-LumbarMRI-Stenosis,https://github.com/NUHS-NUS-SpineAI/SpineAI-Detect-Classify-LumbarMRI-Stenosis,2021-01-25T07:19:53+00:00,2025-05-18T11:35:34+00:00,2021-05-19T17:58:24+00:00,Python,34,9,34,4,False,"['mri', 'medical-image-analysis', 'spine']","Code for 2020 November Radiology Submission ""Deep Learning Model for Automated Detection and Classification of Central Canal, Lateral Recess, and Neural Foraminal Stenosis at Lumbar Spine MRI"""
1,"""explainable AI""",c3di/neuroscope,https://github.com/c3di/neuroscope,2021-01-26T14:07:11+00:00,2025-05-21T13:54:45+00:00,2022-08-29T06:57:03+00:00,Python,32,4,32,2,False,"['convolutional-neural-nets', 'explaining-ai', 'visualization']",Neuroscope:An Explainable AI Toolbox for Semantic Segmentation and Image Classification of Convolutional Neural Nets
2,"""explainable AI""",khorrams/IGOS_pp,https://github.com/khorrams/IGOS_pp,2021-02-07T08:53:04+00:00,2025-04-10T09:19:30+00:00,2023-10-24T04:06:42+00:00,Python,27,4,27,2,False,[],
3,"""explainable AI""",the-ahuja-lab/OdoriFy,https://github.com/the-ahuja-lab/OdoriFy,2021-02-23T07:52:24+00:00,2025-01-09T13:19:25+00:00,2021-09-21T11:42:42+00:00,Python,12,2,12,1,False,"['olfaction', 'deep-neural-networks', 'explainable-ai']",A comprehensive AI-driven web-based solution for Human Olfaction
4,"""explainable AI""",hou-yz/DA_visualization,https://github.com/hou-yz/DA_visualization,2021-03-29T06:14:05+00:00,2025-03-16T18:16:06+00:00,2022-03-18T05:14:36+00:00,Python,98,14,98,0,False,"['domain-adaptation', 'visualization', 'explainable-ai', 'image-translation', 'xai']","[CVPR2021] ""Visualizing Adapted Knowledge in Domain Transfer"". Visualization for domain adaptation.  #explainable-ai"
5,"""explainable AI""",awsm-research/PyExplainer,https://github.com/awsm-research/PyExplainer,2021-03-10T02:37:11+00:00,2024-11-27T23:02:08+00:00,2024-06-21T12:06:38+00:00,Python,30,10,30,4,False,"['software-quality-assurance', 'machine-learning', 'ai4se', 'explainable-ai', 'software-defect-prediction', 'xai']",PyExplainer: A Local Rule-Based Model-Agnostic Technique (Explainable AI)
6,"""explainable AI""",dmitrykazhdan/concept-based-xai,https://github.com/dmitrykazhdan/concept-based-xai,2021-04-07T15:01:26+00:00,2025-03-17T13:16:09+00:00,2022-08-17T14:44:48+00:00,Python,54,5,54,0,False,"['vae', 'xai', 'concept', 'explainability', 'interpretability', 'model-explanation', 'explainable-ai', 'concept-extraction', 'concept-explanation', 'disentangled-representations', 'disentanglement', 'weakly-supervised-learning', 'weak-supervision', 'library']",Library implementing state-of-the-art Concept-based and Disentanglement Learning methods for Explainable AI
7,"""explainable AI""",alibaba/easydispatch,https://github.com/alibaba/easydispatch,2021-05-04T03:15:15+00:00,2025-04-17T09:03:39+00:00,2024-11-25T21:24:42+00:00,Python,39,18,39,1,False,"['field-service-dispatching', 'scheduling', 'real-time-scheduling']",Real Time Field Service Dispatching
8,"""explainable AI""",rish-16/CS3244-Tutorial-Material,https://github.com/rish-16/CS3244-Tutorial-Material,2021-08-21T11:44:50+00:00,2025-05-14T11:25:09+00:00,2022-09-23T05:25:12+00:00,Python,22,7,22,0,False,[],All supplementary material used by me while TA-ing CS3244: Machine Learning
9,"""explainable AI""",sony/nnc-plugin,https://github.com/sony/nnc-plugin,2021-08-05T10:36:50+00:00,2024-12-29T12:57:16+00:00,2024-12-13T09:20:34+00:00,Python,16,6,16,1,False,[],Plugins for Neural Network Console (https://dl.sony.com/).
