total_index,keyword_source,full_name,html_url,create_date,update_date,pushed_date,language,stars,forks,watchers,open_issues,is_fork,topics,description
0,"""generative AI""",PacktPublishing/Data-Engineering-with-Google-Cloud-Platform,https://github.com/PacktPublishing/Data-Engineering-with-Google-Cloud-Platform,2021-05-31T06:08:33+00:00,2025-04-24T10:03:22+00:00,2023-09-20T08:44:33+00:00,Python,117,104,117,3,False,[],"Data Engineering with Google Cloud Platform, published by Packt"
1,"""generative AI""",PacktPublishing/Automated-Machine-Learning-on-AWS,https://github.com/PacktPublishing/Automated-Machine-Learning-on-AWS,2021-06-03T06:29:06+00:00,2025-01-18T00:22:03+00:00,2023-12-27T17:11:51+00:00,Python,45,30,45,0,False,[],"Automated Machine Learning on AWS, published by Packt"
2,"""generative AI""",towhee-io/towhee,https://github.com/towhee-io/towhee,2021-07-13T08:28:50+00:00,2025-05-21T14:28:00+00:00,2024-10-18T00:01:12+00:00,Python,3368,258,3368,1,False,"['machine-learning', 'convolutional-networks', 'embedding-vectors', 'embeddings', 'computer-vision', 'image-processing', 'video-processing', 'feature-extraction', 'image-retrieval', 'unstructured-data', 'feature-vector', 'transformer', 'milvus', 'towhee', 'vision-transformer', 'vit', 'pipeline', 'llm']",Towhee is a framework that is dedicated to making neural data processing pipelines simple and fast.
3,"""generative AI""",hakatashi/atcoder-auto-submitter,https://github.com/hakatashi/atcoder-auto-submitter,2021-07-05T08:11:25+00:00,2024-06-14T10:39:13+00:00,2024-06-14T10:38:07+00:00,Python,19,0,19,0,False,[],Fully-automated AtCoder submitter backed by OpenAI Codex.
4,"""generative AI""",PacktPublishing/Neural-Search-From-Prototype-to-Production-with-Jina,https://github.com/PacktPublishing/Neural-Search-From-Prototype-to-Production-with-Jina,2021-07-26T07:47:28+00:00,2023-03-22T21:23:42+00:00,2023-09-20T08:40:32+00:00,Python,10,3,10,6,False,[],"Neural Search - From Prototype to Production with Jina, published by Packt"
5,"""generative AI""",PacktPublishing/Serverless-ETL-and-Analytics-with-AWS-Glue,https://github.com/PacktPublishing/Serverless-ETL-and-Analytics-with-AWS-Glue,2021-09-27T06:15:51+00:00,2025-04-02T23:36:01+00:00,2023-10-02T11:37:14+00:00,Python,48,35,48,0,False,[],"Serverless ETL and Analytics with AWS Glue, published by Packt"
6,"""generative AI""",PacktPublishing/Distributed-Machine-Learning-with-Python,https://github.com/PacktPublishing/Distributed-Machine-Learning-with-Python,2021-09-08T04:36:49+00:00,2025-04-19T15:44:00+00:00,2023-09-20T08:44:00+00:00,Python,40,20,40,1,False,[],"Distributed Machine Learning with Python, published by Packt "
7,"""generative AI""",nickrusso42518/pluralsight,https://github.com/nickrusso42518/pluralsight,2021-10-05T23:20:25+00:00,2025-04-15T15:35:56+00:00,2024-03-26T00:27:57+00:00,Python,35,34,35,0,False,[],Course content
8,"""generative AI""",PacktPublishing/Mastering-MongoDB-6.x,https://github.com/PacktPublishing/Mastering-MongoDB-6.x,2021-11-15T13:49:48+00:00,2025-03-15T07:54:04+00:00,2023-09-20T08:41:14+00:00,Python,24,7,24,0,False,[],"Mastering MongoDB 6.x, published by Packt "
9,"""generative AI""",PacktPublishing/3D-Deep-Learning-with-Python,https://github.com/PacktPublishing/3D-Deep-Learning-with-Python,2021-12-16T02:58:28+00:00,2025-05-20T12:48:31+00:00,2023-09-20T08:40:03+00:00,Python,103,46,103,2,False,[],"3D Deep Learning with Python, Published by Packt"
