total_index,keyword_source,full_name,html_url,create_date,update_date,pushed_date,language,stars,forks,watchers,open_issues,is_fork,topics,description
0,"""multi-modal AI""",MetaSLAM/GPRS_Survey,https://github.com/MetaSLAM/GPRS_Survey,2022-05-19T16:57:15+00:00,2025-05-21T05:28:12+00:00,2024-04-26T23:23:06+00:00,Python,172,11,172,0,False,[],Benchmark for lidar and visual place recognition
1,"""multi-modal AI""",Kav-K/GPTDiscord,https://github.com/Kav-K/GPTDiscord,2022-12-08T08:06:26+00:00,2025-05-17T16:26:53+00:00,2024-05-30T15:13:04+00:00,Python,1839,293,1839,42,False,"['artificial-intelligence', 'asyncio', 'gpt3', 'help-wanted', 'openai', 'openai-api', 'python', 'dalle2', 'embeddings', 'extractive-question-answering', 'pinecone', 'moderator-bot', 'hacktoberfest', 'github', 'digitalocean', 'multi-modal', 'collaborate', 'chatbot', 'code-interpreter', 'discord']","A robust, all-in-one GPT interface for Discord. ChatGPT-style conversations, image generation, AI-moderation, custom indexes/knowledgebase, youtube summarizer, and more!"
2,"""multi-modal AI""",jina-ai/langchain-serve,https://github.com/jina-ai/langchain-serve,2023-03-21T03:08:56+00:00,2025-05-20T21:09:55+00:00,2023-09-20T04:01:50+00:00,Python,1629,139,1629,15,False,"['gpt', 'langchain', 'autonomous-agents', 'fastapi', 'production', 'python', 'autogpt', 'babyagi', 'llm', 'chatbot', 'slack']",⚡ Langchain apps in production using Jina & FastAPI
3,"""multi-modal AI""",intel/document-automation,https://github.com/intel/document-automation,2023-04-17T20:39:50+00:00,2024-12-19T06:02:26+00:00,2024-06-27T18:49:15+00:00,Python,14,8,14,0,False,"['nlp', 'ocr', 'retrieval', 'odqa', 'semantic-search', 'dpr']",Document Automation Reference Kit
4,"""multi-modal AI""",liubo12/MultiModal-AI-Chatbot,https://github.com/liubo12/MultiModal-AI-Chatbot,2023-04-26T03:14:06+00:00,2025-02-27T14:17:42+00:00,2023-05-19T06:33:30+00:00,Python,13,4,13,0,False,[],多模态对话机器人，支持chatgpt、chatgpt平替、SD等模型进行图文生成，可使用在终端、微信公众号、Web等应用上，未来会对中文文本生成任务进行评测。
5,"""multi-modal AI""",kyegomez/Sophia,https://github.com/kyegomez/Sophia,2023-05-24T17:46:31+00:00,2025-05-17T16:30:43+00:00,2024-06-04T23:26:35+00:00,Python,380,26,380,13,False,"['artificial-intelligence', 'chatgpt', 'deep-learning', 'multi-modality', 'neural-network', 'optimizer']", Effortless plugin and play Optimizer to cut model training costs by 50%.  New optimizer that is 2x faster than Adam on LLMs.
6,"""multi-modal AI""",kyegomez/the-compiler,https://github.com/kyegomez/the-compiler,2023-05-22T23:45:02+00:00,2025-05-17T16:30:40+00:00,2023-07-27T23:24:39+00:00,Python,144,16,144,3,False,"['agora', 'artficial-intelligence', 'autogpt', 'chatgpt', 'prompt-engineering', 'tree-of-thoughts', 'chain-of-thought', 'deep-learning', 'deep-learning-algorithms', 'multi-modal-fusion', 'multi-modality', 'multimodal-deep-learning', 'reinforcement-learning']","Seed, Code, Harvest: Grow Your Own App with Tree of Thoughts!"
7,"""multi-modal AI""",kyegomez/Kosmos-X,https://github.com/kyegomez/Kosmos-X,2023-05-05T03:57:14+00:00,2025-05-17T16:30:12+00:00,2024-09-03T22:27:36+00:00,Python,70,11,70,4,False,"['computer-vision', 'gemini', 'gpt', 'gpt3', 'gpt4', 'multi-modal', 'pytorch', 'vision']",The Next Generation Multi-Modality Superintelligence
8,"""multi-modal AI""",kyegomez/StarlightVision,https://github.com/kyegomez/StarlightVision,2023-05-10T11:39:23+00:00,2025-05-17T16:30:21+00:00,2023-08-18T14:56:50+00:00,Python,64,7,64,2,False,[],"A multi-modal AI Model that can generate high quality novel videos with text, images, or video clips."
9,"""multi-modal AI""",kyegomez/The-Replicator,https://github.com/kyegomez/The-Replicator,2023-05-23T15:39:42+00:00,2025-05-22T08:25:32+00:00,2023-09-24T18:33:15+00:00,Python,10,4,10,0,False,[],Utilizing Autonomous Agents To Autonomously Create AI Models from a text prompt
10,"""multi-modal AI""",kyegomez/Meta-Tree-Of-Thoughts,https://github.com/kyegomez/Meta-Tree-Of-Thoughts,2023-05-28T22:16:54+00:00,2025-05-17T16:30:50+00:00,2023-06-05T17:45:53+00:00,Python,10,1,10,0,False,[],Tree of Thoughts with an meta prompt for 50% boost in model reasoning
11,"""multi-modal AI""",OpenGVLab/LAMM,https://github.com/OpenGVLab/LAMM,2023-06-08T08:21:38+00:00,2025-05-21T09:52:53+00:00,2024-04-16T11:30:23+00:00,Python,313,17,313,9,False,[],[NeurIPS 2023 Datasets and Benchmarks Track] LAMM: Multi-Modal Large Language Models and Applications as AI Agents
12,"""multi-modal AI""",kyegomez/PALM-E,https://github.com/kyegomez/PALM-E,2023-06-09T00:08:33+00:00,2025-05-17T16:31:04+00:00,2024-01-29T18:47:49+00:00,Python,302,45,302,9,False,"['artificial-intelligence', 'artificial-neural-networks', 'attention-is-all-you-need', 'attention-mechanism', 'deep-learning', 'deeplearning', 'gpt4', 'multimodal']","Implementation of ""PaLM-E: An Embodied Multimodal Language Model"""
13,"""multi-modal AI""",kyegomez/Blockwise-Parallel-Transformer,https://github.com/kyegomez/Blockwise-Parallel-Transformer,2023-06-01T23:16:43+00:00,2025-05-17T16:30:56+00:00,2023-06-16T20:56:47+00:00,Python,47,1,47,2,False,[],32 times longer context window than vanilla Transformers and up to 4 times longer than memory efficient Transformers.
14,"""multi-modal AI""",Agora-Lab-AI/The-Distiller,https://github.com/Agora-Lab-AI/The-Distiller,2023-06-05T15:43:14+00:00,2025-05-17T16:31:00+00:00,2023-06-07T12:50:55+00:00,Python,17,1,17,0,False,[],Generate High Quality textual or multi-modal datasets with Agents
15,"""multi-modal AI""",kyegomez/CM3Leon,https://github.com/kyegomez/CM3Leon,2023-07-14T21:56:03+00:00,2025-05-17T16:31:48+00:00,2023-12-15T08:42:30+00:00,Python,360,18,360,5,False,"['attention', 'attention-is-all-you-need', 'dalle', 'imagegeneration', 'multimodal', 'multimodal-learning', 'multimodality']","An open source implementation of ""Scaling Autoregressive Multi-Modal Models: Pretraining and Instruction Tuning"", an all-new multi modal AI that uses just a decoder to generate both text and images"
16,"""multi-modal AI""",kyegomez/PALI,https://github.com/kyegomez/PALI,2023-07-28T14:45:18+00:00,2025-05-17T16:32:05+00:00,2024-03-20T20:47:41+00:00,Python,89,8,89,3,False,"['artificial-intelligence', 'gpt4', 'machine-learning', 'multimodal', 'multimodal-deep-learning', 'multimodality']","Democratization of ""PaLI: A Jointly-Scaled Multilingual Language-Image Model"""
17,"""multi-modal AI""",TheMistoAI/MistoControlNet-Flux-dev,https://github.com/TheMistoAI/MistoControlNet-Flux-dev,2024-08-18T07:31:30+00:00,2025-05-22T08:23:21+00:00,2024-08-31T06:20:16+00:00,Python,345,14,345,16,False,[],"ControlNet collections for Flux1-dev model, Trained by TheMisto.ai Team"
18,"""multi-modal AI""",Clevrr-AI/Clevrr-Computer,https://github.com/Clevrr-AI/Clevrr-Computer,2024-10-24T07:46:46+00:00,2025-05-20T04:54:37+00:00,2024-10-30T11:43:18+00:00,Python,275,44,275,7,False,[],An open-source implementation of Anthropic's Computer Use to perform basic tasks using AI Agents.
19,"""multi-modal AI""",danilop/oss-for-generative-ai,https://github.com/danilop/oss-for-generative-ai,2024-10-02T11:24:28+00:00,2025-04-05T00:55:05+00:00,2024-10-18T08:46:33+00:00,Python,20,3,20,0,False,[],Open Source Frameworks for Building Generative AI Applications
