total_index,keyword_source,full_name,html_url,create_date,update_date,pushed_date,language,stars,forks,watchers,open_issues,is_fork,topics,description
0,"""responsible AI""",mikeroyal/Differential-Privacy-Guide,https://github.com/mikeroyal/Differential-Privacy-Guide,2021-01-03T18:53:10+00:00,2025-03-18T08:02:10+00:00,2022-01-09T22:27:36+00:00,Python,20,1,20,0,False,"['privacy-enhancing-technologies', 'machine-learning', 'privacy', 'decentralization', 'decentralized', 'decentralized-applications', 'deep-learning', 'privacy-preserving', 'privacy-preserving-machine-learning', 'privacy-protection', 'awesome', 'awesome-resources', 'differential-privacy']",Differential Privacy Guide
1,"""responsible AI""",cylynx/verifyml,https://github.com/cylynx/verifyml,2021-09-15T10:18:32+00:00,2024-10-01T19:38:09+00:00,2022-02-07T08:18:44+00:00,Python,23,3,23,2,False,"['responsible-ai', 'fairness', 'fairness-ai', 'machine-learning', 'machine-bias', 'veritas', 'model-card']",Open-source toolkit to help companies implement responsible AI workflows.
2,"""responsible AI""",microsoft/med-deadend,https://github.com/microsoft/med-deadend,2021-10-07T20:36:38+00:00,2025-03-17T14:50:31+00:00,2022-11-15T15:41:21+00:00,Python,50,18,50,1,False,[],Code for the Medical Deadend Paper at NeurIPS 2021
3,"""responsible AI""",microsoft/StyleSwin,https://github.com/microsoft/StyleSwin,2021-11-30T03:41:33+00:00,2025-05-19T12:52:52+00:00,2024-07-30T21:00:17+00:00,Python,530,52,530,12,False,"['computer-vision', 'deep-learning', 'deep-neural-networks', 'pytorch', 'generative-adversarial-network', 'gans', 'image-generation', 'image-synthesis', 'styleswin', 'transformer']",[CVPR 2022] StyleSwin: Transformer-based GAN for High-resolution Image Generation
4,"""responsible AI""",credo-ai/credoai_lens,https://github.com/credo-ai/credoai_lens,2021-12-10T19:06:41+00:00,2025-03-08T16:18:17+00:00,2024-06-13T21:30:08+00:00,Python,47,9,47,0,False,"['responsible-ai', 'machine-learning', 'ml', 'ethical-artificial-intelligence', 'assessment', 'data-science', 'artificial-intelligence', 'ai', 'jupyter', 'python', 'fairness-ml', 'fairness-ai', 'visualization', 'reporting']","Credo AI Lens is a comprehensive assessment framework for AI systems. Lens standardizes model and data assessment, and acts as a central gateway to assessments created in the open source community."
5,"""responsible AI""",microsoft/responsible-ai-toolbox-genbit,https://github.com/microsoft/responsible-ai-toolbox-genbit,2021-12-20T21:02:22+00:00,2025-04-04T02:04:26+00:00,2024-08-20T16:26:14+00:00,Python,45,10,45,1,False,"['data-science', 'fairness-ai', 'fairness-ml', 'gender', 'gender-bias', 'jupyter', 'machine-learning', 'natural-language', 'natural-language-processing', 'fairnness']",A tool for gender bias identification in text. Part of Microsoft's Responsible AI toolbox. 
6,"""responsible AI""",lynnlangit/learning-ethical-ai,https://github.com/lynnlangit/learning-ethical-ai,2021-12-15T21:05:46+00:00,2025-03-12T22:25:40+00:00,2024-12-08T21:31:28+00:00,Python,14,5,14,0,False,"['ai', 'ethics', 'machine-learning', 'tensorflow']",Resources to learn how to implement ethical AI
7,"""responsible AI""",microsoft/GRAM,https://github.com/microsoft/GRAM,2022-03-31T09:48:53+00:00,2025-02-27T07:01:14+00:00,2022-08-25T04:36:06+00:00,Python,188,22,188,6,False,[],GRAM: Generative Radiance Manifolds for 3D-Aware Image Generation (CVPR 2022 Oral)
8,"""responsible AI""",Azure/mlops-starter-sklearn,https://github.com/Azure/mlops-starter-sklearn,2022-06-09T05:09:04+00:00,2025-05-14T05:55:53+00:00,2023-06-07T02:04:17+00:00,Python,12,6,12,3,False,"['machine-learning', 'mlops', 'azure-machine-learning', 'scikit-learn', 'azure', 'devops', 'microsoft', 'mypy', 'pytest', 'python', 'responsible-ai']",Azure Machine Learning と GitHub を利用した MLOps のサンプルコード
9,"""responsible AI""",daveshap/HeuristicImperatives,https://github.com/daveshap/HeuristicImperatives,2022-07-09T09:01:56+00:00,2025-05-19T00:40:39+00:00,2023-05-22T22:42:09+00:00,Python,138,23,138,0,False,[],"Reduce suffering, increase prosperity, increase understanding. A proposed framework to address the Control Problem."
10,"""responsible AI""",squaredev-io/whitebox,https://github.com/squaredev-io/whitebox,2022-09-09T12:02:53+00:00,2024-11-13T18:09:59+00:00,2023-07-11T22:37:38+00:00,Python,183,5,183,29,False,"['machine-learning', 'monitoring', 'observability', 'python', 'explainability', 'explainable-ai', 'ml-monitoring', 'mlflow', 'mlops', 'modelops', 'accuracy', 'accuracy-metrics', 'accuracy-score', 'confusion-matrix', 'f1-score', 'recall', 'model-monitoring', 'k8s', 'kubernetes', 'xai']",[Not Actively Maintained] Whitebox is an open source E2E ML monitoring platform with edge capabilities that plays nicely with kubernetes
11,"""responsible AI""",cisco-open/ResponsibleAI,https://github.com/cisco-open/ResponsibleAI,2022-09-30T17:47:52+00:00,2025-04-14T18:49:39+00:00,2024-06-26T23:12:20+00:00,Python,56,13,56,3,False,[],RAI is a python library that is written to help AI developers in various aspects of responsible AI development.
12,"""responsible AI""",microsoft/robustlearn,https://github.com/microsoft/robustlearn,2022-10-20T09:46:22+00:00,2025-05-19T11:29:07+00:00,2024-07-12T10:53:01+00:00,Python,488,59,488,6,False,[],Robust machine learning for responsible AI
13,"""responsible AI""",jose-jaen/Airbnb,https://github.com/jose-jaen/Airbnb,2022-10-13T14:55:56+00:00,2025-05-13T06:36:43+00:00,2023-05-28T14:59:45+00:00,Python,14,4,14,1,False,"['algorithms', 'bayesian-optimization', 'bayesian-statistics', 'deep-learning', 'econometrics', 'machine-learning', 'python', 'ai', 'bayes', 'data-science', 'deployment', 'streamlit', 'xai']",Airbnb price prediction using Machine Learning and Deep Learning
14,"""responsible AI""",bryanat/Reinforcement-Learning-Unity-3D-Packing,https://github.com/bryanat/Reinforcement-Learning-Unity-3D-Packing,2022-12-04T02:21:48+00:00,2025-03-28T13:17:24+00:00,2024-08-22T10:57:38+00:00,Python,17,7,17,7,False,"['deep-reinforcement-learning', 'reinforcement-learning', 'pytorch', 'unity-ml-agents', 'unity', 'machine-learning']",3D Packing with Deep Reinforcement Learning  using Unity ML-Agents (AI)
15,"""responsible AI""",gligen/GLIGEN,https://github.com/gligen/GLIGEN,2023-01-13T06:05:33+00:00,2025-05-22T06:36:54+00:00,2024-03-06T06:15:54+00:00,Python,2119,160,2119,77,False,[],Open-Set Grounded Text-to-Image Generation
16,"""responsible AI""",AntreasAntoniou/minimal-ml-template,https://github.com/AntreasAntoniou/minimal-ml-template,2023-01-25T23:03:33+00:00,2025-05-06T16:00:02+00:00,2023-04-08T14:36:12+00:00,Python,40,6,40,1,False,[],"A very minimal ml project template that uses HF transformers and wandb to train a simple NN and evaluate it, in a stateless manner compatible with Spot  instances kubernetes workflows"
17,"""responsible AI""",OlivierShi/BingChatGPT-API,https://github.com/OlivierShi/BingChatGPT-API,2023-02-15T07:32:37+00:00,2024-04-29T07:30:31+00:00,2023-02-21T09:41:17+00:00,Python,82,9,82,4,False,[],
18,"""responsible AI""",Anaig/OpenAI-and-Cognitive-Search,https://github.com/Anaig/OpenAI-and-Cognitive-Search,2023-02-26T18:59:59+00:00,2024-04-09T12:15:56+00:00,2023-03-28T21:04:50+00:00,Python,33,11,33,4,False,[],Azure OpenAI integration as a custom skillset in Azure Cognitive Search
19,"""responsible AI""",guygregory/ChatToolkit,https://github.com/guygregory/ChatToolkit,2023-02-03T09:49:46+00:00,2024-12-08T19:37:26+00:00,2024-06-26T16:34:45+00:00,Python,10,1,10,0,False,"['azure', 'azure-openai', 'azure-openai-api', 'gpt-4', 'microsoft', 'openai', 'python']",Sample application to demonstrate Azure OpenAI in Python
20,"""responsible AI""",sahbic/profile-gpt,https://github.com/sahbic/profile-gpt,2023-04-16T17:39:44+00:00,2025-05-17T16:29:41+00:00,2023-04-24T20:27:49+00:00,Python,180,14,180,4,False,[],An AI-driven tool to analyze your profile and gain insights into how ChatGPT interprets your personality.
21,"""responsible AI""",chenjd/azure-openai-gpt4-voice-chatbot,https://github.com/chenjd/azure-openai-gpt4-voice-chatbot,2023-04-12T21:40:54+00:00,2024-06-16T16:51:29+00:00,2023-04-18T21:13:22+00:00,Python,14,8,14,1,False,[],
22,"""responsible AI""",chenxingqiang/awsome-openai-paper,https://github.com/chenxingqiang/awsome-openai-paper,2023-04-20T06:09:04+00:00,2025-05-12T03:00:24+00:00,2023-05-09T21:05:21+00:00,Python,10,4,10,0,False,"['awsome', 'html', 'openai', 'paper', 'python']","openai paper searching focusing on Author relate to OpenAI, openai paper searching, awsome-openai-paper."
23,"""responsible AI""",microsoft/azure-genai-design-patterns,https://github.com/microsoft/azure-genai-design-patterns,2023-05-08T16:53:34+00:00,2025-05-20T05:28:50+00:00,2024-10-14T16:53:03+00:00,Python,661,116,661,23,False,[],
