total_index,keyword_source,full_name,html_url,create_date,update_date,pushed_date,language,stars,forks,watchers,open_issues,is_fork,topics,description
0,"""robotics AI""",akshitadixit/VCallZer,https://github.com/akshitadixit/VCallZer,2021-01-26T16:15:49+00:00,2025-01-24T18:47:59+00:00,2021-07-09T11:39:16+00:00,Python,15,27,15,10,False,"['dsc-iiitkalyani', 'wociiitkalyani', 'dsc-projects', 'winterofcode', 'dlib', 'socket', 'python', 'ipv4', 'dsc-iiit-kalyani', 'lgm-soc', 'lgm-soc-21']","Project that facilitates anonymity while connected over a video call, by concealing the face as well as modulating the voice."
1,"""robotics AI""",wmarzouki/awesome-resources,https://github.com/wmarzouki/awesome-resources,2021-03-16T00:45:25+00:00,2024-04-11T02:49:42+00:00,2021-03-18T06:50:00+00:00,Python,28,12,28,1,False,[],"Participants  of Bertelsmann Technology Scholarship created an awesome list of resources and they want to share it with the world, if you find illegal resources please report to us and we will remove."
2,"""robotics AI""",SihabSahariar/Mars-Rover-Control-System,https://github.com/SihabSahariar/Mars-Rover-Control-System,2022-05-07T10:16:33+00:00,2024-08-22T20:43:51+00:00,2022-05-07T18:34:44+00:00,Python,14,1,14,0,False,"['autonomous-navigation', 'gps', 'mars', 'mars-rover', 'motor-driver', 'pyqt5', 'robotics', 'ros', 'rover', 'bracu-mongoltori']",All my research resources related to Mars Rover
3,"""robotics AI""",XuelongSun/WebotsTutorialBilibili,https://github.com/XuelongSun/WebotsTutorialBilibili,2022-06-10T15:48:43+00:00,2025-05-17T21:00:15+00:00,2024-04-01T11:52:06+00:00,Python,44,6,44,0,False,[],Source code and project files
4,"""robotics AI""",mrsonandrade/pyswarming,https://github.com/mrsonandrade/pyswarming,2022-09-09T13:12:35+00:00,2025-03-30T18:19:01+00:00,2024-07-11T00:02:31+00:00,Python,24,5,24,2,False,"['multi-robot-systems', 'python', 'robotics', 'self-organizing', 'swarm', 'swarm-intelligence', 'swarm-robotics', 'bioinspired', 'engineering', 'math', 'mathematics', 'pypi', 'python-toolkit', 'research', 'robot']",A research toolkit for Swarm Robotics.
5,"""robotics AI""",iain-mackie/marqo-gpt3,https://github.com/iain-mackie/marqo-gpt3,2022-11-07T18:20:35+00:00,2025-01-02T13:31:18+00:00,2023-06-06T04:10:19+00:00,Python,19,3,19,1,False,"['marqo', 'gpt-3', 'neural-search', 'news', 'search', 'tensor-search']",Article on Marqo + GPT3 for news summarisation
6,"""robotics AI""",amd/Kria-RoboticsAI,https://github.com/amd/Kria-RoboticsAI,2023-12-15T08:55:04+00:00,2025-03-21T12:34:14+00:00,2023-12-20T00:11:17+00:00,Python,17,3,17,10,False,[],
7,"""robotics AI""",taiyi747/WeWork-Robot,https://github.com/taiyi747/WeWork-Robot,2024-01-11T14:55:47+00:00,2025-04-11T08:59:34+00:00,2024-07-31T09:36:38+00:00,Python,23,10,23,0,False,[],基于python，企业微信交互的机器人系统，可接入 GPT、Gemini 等大语言模型
8,"""robotics AI""",olive-robotics/bots_bento_icra24,https://github.com/olive-robotics/bots_bento_icra24,2024-02-14T11:07:35+00:00,2025-02-17T12:03:17+00:00,2024-08-13T09:53:08+00:00,Python,10,1,10,1,False,[],
9,"""robotics AI""",mbzuai-oryx/CVRR-Evaluation-Suite,https://github.com/mbzuai-oryx/CVRR-Evaluation-Suite,2024-05-06T18:05:47+00:00,2025-05-14T03:42:31+00:00,2024-08-23T08:22:18+00:00,Python,48,7,48,3,False,[],"[CVPRW-25 MMFM] Official repository of paper titled ""How Good is my Video LMM? Complex Video Reasoning and Robustness Evaluation Suite for Video-LMMs""."
