total_index,keyword_source,full_name,html_url,create_date,update_date,pushed_date,language,stars,forks,watchers,open_issues,is_fork,topics,description
0,"""causal"" AND ""AI""",rushter/data-science-blogs,https://github.com/rushter/data-science-blogs,2015-08-05T11:58:14+00:00,2025-05-30T17:16:30+00:00,2024-06-05T09:47:02+00:00,Python,6355,1776,6355,13,False,"['data-science', 'machine-learning']",A curated list of data science blogs
1,"""causal"" AND ""AI""",aymericdamien/TopDeepLearning,https://github.com/aymericdamien/TopDeepLearning,2016-04-27T04:13:03+00:00,2025-06-01T16:44:39+00:00,2024-02-16T15:28:31+00:00,Python,5949,1206,5949,19,False,"['deep-learning', 'machine-learning', 'tensorflow', 'pytorch']",A list of popular github projects related to deep learning
2,"""causal"" AND ""AI""",ColinShaw/machine-learning-resources,https://github.com/ColinShaw/machine-learning-resources,2017-02-09T02:35:18+00:00,2025-05-10T21:03:01+00:00,2020-07-30T19:50:34+00:00,Python,64,17,64,0,False,"['machine-learning', 'books', 'articles', 'links']",List of books and other resources that are related to deep learning
3,"""causal"" AND ""AI""",hindupuravinash/the-gan-zoo,https://github.com/hindupuravinash/the-gan-zoo,2017-04-14T16:45:24+00:00,2025-06-01T12:47:37+00:00,2023-10-06T18:30:38+00:00,Python,14547,2574,14547,38,False,"['machine-learning', 'gan', 'generative-adversarial-network']",A list of all named GANs!
4,"""causal"" AND ""AI""",logangraham/arXausality,https://github.com/logangraham/arXausality,2017-11-27T17:17:48+00:00,2025-02-06T13:59:58+00:00,2020-09-10T14:09:20+00:00,Python,416,51,416,0,False,[],A every-so-often-updated collection of every causality + machine learning paper submitted to arXiv in the recent past.
5,"""causal"" AND ""AI""",FragileTech/FractalAI,https://github.com/FragileTech/FractalAI,2017-11-20T00:05:32+00:00,2024-07-22T03:43:28+00:00,2020-03-10T15:18:36+00:00,Python,68,16,68,5,False,"['fractal-monte-carlo', 'planning-algorithm']",Cellular automaton-based calculus for the masses
6,"""causal"" AND ""AI""",Chester75321/GenEpi,https://github.com/Chester75321/GenEpi,2018-02-12T03:31:16+00:00,2023-11-09T08:37:39+00:00,2024-06-17T22:51:39+00:00,Python,20,9,20,7,False,"['machine-learning', 'gwas', 'epistasis']",A package for detecting epistasis by machine learning
7,"""causal"" AND ""AI""",Guillemdb/FractalAI,https://github.com/Guillemdb/FractalAI,2018-03-13T14:48:24+00:00,2025-01-30T02:17:57+00:00,2020-03-07T15:40:32+00:00,Python,112,41,112,0,False,[],Celular automaton-based calculus for the masses
8,"""causal"" AND ""AI""",theyoucheng/deepcover,https://github.com/theyoucheng/deepcover,2018-03-10T20:41:56+00:00,2024-06-18T09:09:19+00:00,2024-04-09T08:22:34+00:00,Python,32,19,32,2,False,[],DeepCover: Uncover the truth behind AI
9,"""causal"" AND ""AI""",egstatsml/arxivsearch,https://github.com/egstatsml/arxivsearch,2018-05-21T05:23:23+00:00,2024-10-17T08:30:29+00:00,2023-09-01T19:01:11+00:00,Python,30,3,30,2,False,[],Pulls papers from arXiv on a weekly basis
