total_index,keyword_source,full_name,html_url,create_date,update_date,pushed_date,language,stars,forks,watchers,open_issues,is_fork,topics,description
0,"""explainable"" AND ""AI""",evison/KBE4ExplainableRecommendation,https://github.com/evison/KBE4ExplainableRecommendation,2018-11-21T22:01:19+00:00,2024-12-08T16:49:30+00:00,2021-02-24T22:30:12+00:00,Python,52,15,52,1,False,[],Code for Paper: CFKG: Learning Heterogeneous Knowledge Base Embeddings for Explainable Recommendation (KBE4ER)
1,"""explainable"" AND ""AI""",EthicalML/xai,https://github.com/EthicalML/xai,2019-01-11T20:00:09+00:00,2025-06-01T13:48:11+00:00,2021-10-30T06:35:19+00:00,Python,1175,179,1175,4,False,"['explainability', 'xai', 'ml', 'ai', 'bias', 'artificial-intelligence', 'bias-evaluation', 'explainable-ai', 'explainable-ml', 'machine-learning', 'machine-learning-explainability', 'interpretability', 'xai-library', 'evaluation', 'imbalance', 'upsampling', 'downsampling', 'feature-importance']",XAI - An eXplainability toolbox for machine learning
2,"""explainable"" AND ""AI""",Nicholasli1995/VisualizingNDF,https://github.com/Nicholasli1995/VisualizingNDF,2019-03-11T12:28:20+00:00,2024-07-17T15:49:42+00:00,2022-03-12T06:32:59+00:00,Python,70,20,70,0,False,"['machine-learning', 'visualization', 'deep-learning', 'computer-vision', 'imageclassification', 'mnist', 'age-estimation', 'cifar10']","Official PyTorch implementation of ""Visualizing the Decision-making Process in Deep Neural Decision Forest"", CVPR 2019 Workshops on Explainable AI "
3,"""explainable"" AND ""AI""",orcax/PGPR,https://github.com/orcax/PGPR,2019-05-07T01:49:56+00:00,2025-05-28T02:38:05+00:00,2022-12-08T01:47:00+00:00,Python,283,72,283,11,False,[],Reinforcement Knowledge Graph Reasoning for Explainable Recommendation
4,"""explainable"" AND ""AI""",interpretml/interpret-text,https://github.com/interpretml/interpret-text,2019-09-04T16:39:48+00:00,2025-05-26T19:16:24+00:00,2024-02-05T16:37:11+00:00,Python,426,68,426,92,False,"['text-interpretability', 'explainer', 'nlp-models', 'jupyter-notebook', 'visualization-dashboard', 'nlp-scenarios', 'data-scientists', 'glass-box-explainers', 'linear-models', 'grey-box-explainers', 'black-box-explanations', 'nlp', 'text-classification', 'data-analyst', 'local-explanations', 'python', 'npm', 'microsoft-azureml', 'azure-sdk']",A library that incorporates state-of-the-art explainers for text-based machine learning models and visualizes the result with a built-in dashboard.
5,"""explainable"" AND ""AI""",QingyaoAi/Explainable-Product-Search-with-a-Dynamic-Relation-Embedding-Model,https://github.com/QingyaoAi/Explainable-Product-Search-with-a-Dynamic-Relation-Embedding-Model,2019-09-17T19:07:18+00:00,2024-07-31T07:21:13+00:00,2021-08-13T21:06:40+00:00,Python,21,4,21,1,False,[],
6,"""explainable"" AND ""AI""",JindongGu/Contrastive-LRP,https://github.com/JindongGu/Contrastive-LRP,2019-09-02T22:31:59+00:00,2024-09-09T03:44:03+00:00,2022-06-24T22:56:27+00:00,Python,17,2,17,3,False,[],A pytorch implemention of the Explainable AI work 'Contrastive layerwise relevance propagation (CLRP)'
7,"""explainable"" AND ""AI""",hou-yz/color_distillation,https://github.com/hou-yz/color_distillation,2019-10-16T12:33:04+00:00,2025-04-22T12:20:57+00:00,2021-03-31T07:33:24+00:00,Python,54,14,54,0,False,"['image-compression', 'color-quantization', 'pytorch', 'explainable-ai']","[CVPR 2020] ""Learning to Structure an Image with Few Colors"". Critical structure for network recognition. #explainable-ai  "
8,"""explainable"" AND ""AI""",JD-AI-Research-Silicon-Valley/SAE,https://github.com/JD-AI-Research-Silicon-Valley/SAE,2020-01-22T22:06:19+00:00,2023-03-10T03:15:30+00:00,2020-01-23T00:45:48+00:00,Python,41,11,41,4,False,[],"Code for AAAI 2020 paper ""Select, Answer and Explain: Interpretable Multi-hop Reading Comprehension over Multiple Documents"""
9,"""explainable"" AND ""AI""",deel-ai/xplique,https://github.com/deel-ai/xplique,2020-04-05T15:25:54+00:00,2025-05-21T09:22:19+00:00,2024-10-08T15:52:49+00:00,Python,689,58,689,10,False,"['xai', 'explainable-ai', 'explainable-ml', 'interpretability']",👋 Xplique is a Neural Networks Explainability Toolbox
10,"""explainable"" AND ""AI""",peterbhase/InterpretableNLP-ACL2020,https://github.com/peterbhase/InterpretableNLP-ACL2020,2020-04-30T03:40:04+00:00,2025-03-11T05:09:59+00:00,2024-01-17T18:39:54+00:00,Python,46,3,46,2,False,[],"Code for ""Evaluating Explainable AI: Which Algorithmic Explanations Help Users Predict Model Behavior?"""
11,"""explainable"" AND ""AI""",joyjitchatterjee/XAI4Wind,https://github.com/joyjitchatterjee/XAI4Wind,2020-05-26T14:47:08+00:00,2025-05-04T07:02:03+00:00,2022-05-14T10:56:48+00:00,Python,16,7,16,0,False,[],Supplementary data for utilising knowledge graph databases towards explainable decision support in wind turbines.
12,"""explainable"" AND ""AI""",GoogleCloudPlatform/explainable_ai_sdk,https://github.com/GoogleCloudPlatform/explainable_ai_sdk,2020-06-02T18:02:03+00:00,2024-10-20T04:38:28+00:00,2022-01-25T00:48:52+00:00,Python,25,12,25,4,False,[],This is an SDK for Google Cloud Explainable AI service. Explainable AI SDK helps users build explanation metadata for their models and visualize feature attributions returned from the model.
13,"""explainable"" AND ""AI""",lalonderodney/X-Caps,https://github.com/lalonderodney/X-Caps,2020-06-09T02:12:07+00:00,2025-05-09T15:54:47+00:00,2023-03-24T22:33:41+00:00,Python,21,7,21,3,False,[],Official Code Repository for Encoding Visual Attributes in Capsules for Explainable Medical Diagnoses (X-Caps)
14,"""explainable"" AND ""AI""",SRI-AIC/InterestingnessXRL,https://github.com/SRI-AIC/InterestingnessXRL,2020-06-11T17:39:46+00:00,2025-05-09T11:27:19+00:00,2021-05-22T01:25:52+00:00,Python,21,5,21,2,False,[],A python library for eXplainable Reinforcement Learning (XRL) based on the concept of interestingness elements. 
15,"""explainable"" AND ""AI""",soumickmj/TorchEsegeta,https://github.com/soumickmj/TorchEsegeta,2020-06-09T12:25:08+00:00,2024-12-27T07:42:04+00:00,2024-02-19T13:32:18+00:00,Python,20,4,20,0,False,[],TorchEsegeta: Interpretability and Explainability pipeline for PyTorch
