total_index,keyword_source,full_name,html_url,create_date,update_date,pushed_date,language,stars,forks,watchers,open_issues,is_fork,topics,description
0,"""multimodal"" AND ""AI""",mike-bowles/hdDeepLearningStudy,https://github.com/mike-bowles/hdDeepLearningStudy,2016-03-15T04:29:02+00:00,2025-05-27T16:02:31+00:00,2023-11-15T04:55:11+00:00,Python,291,93,291,4,False,[],Code etc for Hacker Dojo Deep Learning Study Group
1,"""multimodal"" AND ""AI""",aymericdamien/TopDeepLearning,https://github.com/aymericdamien/TopDeepLearning,2016-04-27T04:13:03+00:00,2025-06-01T16:44:39+00:00,2024-02-16T15:28:31+00:00,Python,5949,1206,5949,19,False,"['deep-learning', 'machine-learning', 'tensorflow', 'pytorch']",A list of popular github projects related to deep learning
2,"""multimodal"" AND ""AI""",floodsung/Deep-Learning-Papers-Reading-Roadmap,https://github.com/floodsung/Deep-Learning-Papers-Reading-Roadmap,2016-10-14T11:49:48+00:00,2025-06-02T13:22:29+00:00,2022-11-27T13:18:32+00:00,Python,39034,7349,39034,91,False,['deep-learning'],Deep Learning papers reading roadmap for anyone who are eager to learn this amazing tech!
3,"""multimodal"" AND ""AI""",rockingdingo/deepnlp,https://github.com/rockingdingo/deepnlp,2016-10-27T07:49:05+00:00,2025-04-22T09:59:06+00:00,2024-10-11T16:02:55+00:00,Python,1354,708,1354,43,False,[],Deep Learning NLP Pipeline implemented on Tensorflow
4,"""multimodal"" AND ""AI""",rockingdingo/tensorflow-tutorial,https://github.com/rockingdingo/tensorflow-tutorial,2016-12-26T06:29:34+00:00,2024-12-20T03:15:03+00:00,2024-10-11T17:00:05+00:00,Python,108,69,108,6,False,[],Some tensorflow demo
5,"""multimodal"" AND ""AI""",hunkim/DeepLearningStars,https://github.com/hunkim/DeepLearningStars,2017-01-27T15:52:33+00:00,2025-05-30T05:35:24+00:00,2024-02-17T01:49:45+00:00,Python,428,110,428,3,False,[],Top Deep Learning Projects based on their Stars!
6,"""multimodal"" AND ""AI""",rockingdingo/gym-gomoku,https://github.com/rockingdingo/gym-gomoku,2017-02-10T09:44:41+00:00,2025-05-20T12:37:04+00:00,2024-10-11T17:00:41+00:00,Python,89,27,89,2,False,[],"OpenAI Gym Env for game Gomoku(Five-In-a-Row, 五子棋, 五目並べ, omok, Gobang,...)"
7,"""multimodal"" AND ""AI""",ColinShaw/machine-learning-resources,https://github.com/ColinShaw/machine-learning-resources,2017-02-09T02:35:18+00:00,2025-05-10T21:03:01+00:00,2020-07-30T19:50:34+00:00,Python,64,17,64,0,False,"['machine-learning', 'books', 'articles', 'links']",List of books and other resources that are related to deep learning
8,"""multimodal"" AND ""AI""",hindupuravinash/the-gan-zoo,https://github.com/hindupuravinash/the-gan-zoo,2017-04-14T16:45:24+00:00,2025-06-01T12:47:37+00:00,2023-10-06T18:30:38+00:00,Python,14547,2574,14547,38,False,"['machine-learning', 'gan', 'generative-adversarial-network']",A list of all named GANs!
9,"""multimodal"" AND ""AI""",facebookresearch/ParlAI,https://github.com/facebookresearch/ParlAI,2017-04-24T17:10:44+00:00,2025-06-01T11:49:29+00:00,2023-11-03T14:30:00+00:00,Python,10533,2089,10533,51,False,[],A framework for training and evaluating AI models on a variety of openly available dialogue datasets.
