total_index,keyword_source,full_name,html_url,create_date,update_date,pushed_date,language,stars,forks,watchers,open_issues,is_fork,topics,description
0,"""quantum"" AND ""AI""",vinta/awesome-python,https://github.com/vinta/awesome-python,2014-06-27T21:00:06+00:00,2025-06-02T13:07:34+00:00,2024-08-11T17:10:18+00:00,Python,245253,25738,245253,482,False,"['awesome', 'python', 'collections', 'python-library', 'python-framework', 'python-resources']","An opinionated list of awesome Python frameworks, libraries, software and resources."
1,"""quantum"" AND ""AI""",aymericdamien/TopDeepLearning,https://github.com/aymericdamien/TopDeepLearning,2016-04-27T04:13:03+00:00,2025-06-01T16:44:39+00:00,2024-02-16T15:28:31+00:00,Python,5949,1206,5949,19,False,"['deep-learning', 'machine-learning', 'tensorflow', 'pytorch']",A list of popular github projects related to deep learning
2,"""quantum"" AND ""AI""",erp12/pyshgp,https://github.com/erp12/pyshgp,2016-06-13T19:10:05+00:00,2025-02-22T18:44:37+00:00,2023-06-15T02:20:04+00:00,Python,75,23,75,15,False,"['genetic-programming', 'python', 'software-synthesis', 'artificial-intelligence', 'machine-learning', 'evolutionary-algorithms', 'evolutionary-computation', 'programming-by-example']",Push Genetic Programming in Python. 
3,"""quantum"" AND ""AI""",ColinShaw/machine-learning-resources,https://github.com/ColinShaw/machine-learning-resources,2017-02-09T02:35:18+00:00,2025-05-10T21:03:01+00:00,2020-07-30T19:50:34+00:00,Python,64,17,64,0,False,"['machine-learning', 'books', 'articles', 'links']",List of books and other resources that are related to deep learning
4,"""quantum"" AND ""AI""",aiidateam/aiida-wannier90,https://github.com/aiidateam/aiida-wannier90,2017-07-17T13:04:39+00:00,2025-04-30T08:24:24+00:00,2024-05-10T10:33:36+00:00,Python,10,16,10,9,False,[],AiiDA plugin for the Wannier90 code
5,"""quantum"" AND ""AI""",accel-brain/accel-brain-code,https://github.com/accel-brain/accel-brain-code,2017-09-15T23:37:39+00:00,2025-05-15T23:07:03+00:00,2023-12-26T03:01:38+00:00,Python,313,92,313,2,False,"['automatic-summarization', 'deep-learning', 'deep-reinforcement-learning', 'reinforcement-learning', 'q-learning', 'restricted-boltzmann-machine', 'simulated-annealing', 'quantum-monte-carlo', 'quantum-annealing', 'auto-encoder', 'combinatorial-optimization', 'transfer-learning', 'lstm', 'multi-agent-reinforcement-learning', 'deep-q-network', 'semi-supervised-learning', 'generative-adversarial-network', 'energy-based-model', 'self-supervised-learning']","The purpose of this repository is to make prototypes as case study in the context of proof of concept(PoC) and research and development(R&D) that I have written in my website. The main research topics are Auto-Encoders in relation to the representation learning, the statistical machine learning for energy-based models, adversarial generation networks(GANs), Deep Reinforcement Learning such as Deep Q-Networks, semi-supervised learning, and neural network language model for natural language processing."
6,"""quantum"" AND ""AI""",flrngel/understanding-ai,https://github.com/flrngel/understanding-ai,2017-10-03T16:36:12+00:00,2024-12-23T09:00:49+00:00,2023-09-17T03:39:16+00:00,Python,35,6,35,32,False,"['paper-summaries', 'papers', 'deep-learning']",personal repository
7,"""quantum"" AND ""AI""",logangraham/arXausality,https://github.com/logangraham/arXausality,2017-11-27T17:17:48+00:00,2025-02-06T13:59:58+00:00,2020-09-10T14:09:20+00:00,Python,416,51,416,0,False,[],A every-so-often-updated collection of every causality + machine learning paper submitted to arXiv in the recent past.
8,"""quantum"" AND ""AI""",rafa2000/Top-Genetic-Algorithm,https://github.com/rafa2000/Top-Genetic-Algorithm,2018-03-17T03:13:44+00:00,2025-03-10T07:10:33+00:00,2020-06-01T18:22:02+00:00,Python,67,14,67,0,False,[],Top Vision Github Projects
9,"""quantum"" AND ""AI""",thinkwelltwd/device_detector,https://github.com/thinkwelltwd/device_detector,2018-05-25T18:05:41+00:00,2025-05-06T11:32:17+00:00,2024-08-04T14:39:39+00:00,Python,127,47,127,4,False,[],
10,"""quantum"" AND ""AI""",egstatsml/arxivsearch,https://github.com/egstatsml/arxivsearch,2018-05-21T05:23:23+00:00,2024-10-17T08:30:29+00:00,2023-09-01T19:01:11+00:00,Python,30,3,30,2,False,[],Pulls papers from arXiv on a weekly basis
11,"""quantum"" AND ""AI""",eth-nn-physics/nn_physical_concepts,https://github.com/eth-nn-physics/nn_physical_concepts,2018-07-23T11:57:53+00:00,2025-05-23T16:55:04+00:00,2023-05-18T19:57:12+00:00,Python,175,59,175,0,False,[],
