total_index,keyword_source,full_name,html_url,create_date,update_date,pushed_date,language,stars,forks,watchers,open_issues,is_fork,topics,description
0,"""robotics"" AND ""AI""",MattChanTK/ai-gym,https://github.com/MattChanTK/ai-gym,2016-09-25T07:10:14+00:00,2025-03-15T15:33:02+00:00,2020-04-25T14:33:51+00:00,Python,43,32,43,8,False,[],Repository of deep learning and robotics related practice projects.
1,"""robotics"" AND ""AI""",ColinShaw/robotics-and-machine-vision-resources,https://github.com/ColinShaw/robotics-and-machine-vision-resources,2017-03-01T02:12:29+00:00,2025-05-28T14:36:30+00:00,2020-04-04T13:54:17+00:00,Python,202,38,202,1,False,"['books', 'robotis', 'machine-vision', 'articles']","Book, articles and interesting things related to robotics"
2,"""robotics"" AND ""AI""",MultipedRobotics/multiped,https://github.com/MultipedRobotics/multiped,2017-07-10T00:06:03+00:00,2023-08-30T08:59:23+00:00,2021-01-20T23:02:06+00:00,Python,14,4,14,0,False,"['python2', 'python3', 'quadruped', 'robot', 'ax-12a', 'xl-320']",Low level driver for a quadruped robot using either AX-12A or XL-320 servos
3,"""robotics"" AND ""AI""",bjnortier/max,https://github.com/bjnortier/max,2018-01-10T14:22:39+00:00,2024-05-17T04:34:38+00:00,2023-02-15T18:29:45+00:00,Python,16,2,16,9,False,[],Development of a virtual quadruped robot using OpenAI & Mujoco
4,"""robotics"" AND ""AI""",automagica/automagica,https://github.com/automagica/automagica,2018-02-08T14:03:17+00:00,2025-05-27T04:20:32+00:00,2020-10-13T16:14:04+00:00,Python,3055,483,3055,29,False,"['rpa', 'robot', 'python', 'ai', 'desktop-automation', 'office-automation', 'macros', 'web-automation', 'automation', 'automagica', 'automagica-portal', 'uipath', 'autoit']",AI-powered Smart Robotic Process Automation 🤖
5,"""robotics"" AND ""AI""",gbartyzel/gym-vrep,https://github.com/gbartyzel/gym-vrep,2018-05-02T19:31:52+00:00,2025-02-20T10:04:46+00:00,2023-05-27T10:45:15+00:00,Python,39,13,39,2,False,"['v-rep', 'reinforcement-learning', 'openai-gym', 'robotics', 'deep-reinforcement-learning', 'rl', 'mobile-robotics', 'coppeliasim']",Open-AI Gym extension for robotics based on V-REP
6,"""robotics"" AND ""AI""",stoic1979/robovision,https://github.com/stoic1979/robovision,2018-06-12T16:18:42+00:00,2024-04-22T16:13:13+00:00,2022-11-22T02:30:42+00:00,Python,136,24,136,7,False,"['opencv', 'computer-vision', 'face-detection', 'face-recognition', 'pyqt5', 'surveillance', 'artificial-intelligence', 'machine-learning', 'haar-cascade-classifier', 'classification']", AI and machine leaning-based computer vision for a robot
7,"""robotics"" AND ""AI""",PacktPublishing/Learn-Robotics-Programming,https://github.com/PacktPublishing/Learn-Robotics-Programming,2018-06-12T09:48:35+00:00,2025-02-16T16:46:46+00:00,2023-01-30T09:22:35+00:00,Python,43,15,43,2,False,[],"Learn Robotics - Fundamentals of Robotics Programming, published by Packt"
8,"""robotics"" AND ""AI""",kindredresearch/SenseAct,https://github.com/kindredresearch/SenseAct,2018-08-17T15:16:40+00:00,2025-05-08T17:08:51+00:00,2023-02-03T07:36:17+00:00,Python,220,43,220,23,False,"['reinforcement-learning', 'robot', 'dynamixel', 'learning-agents', 'robot-learning']",SenseAct: A computational framework for developing real-world robot learning tasks
9,"""robotics"" AND ""AI""",microsoft/AI-Robot-Challenge-Lab,https://github.com/microsoft/AI-Robot-Challenge-Lab,2018-08-29T17:31:25+00:00,2025-05-25T07:54:37+00:00,2023-06-12T19:29:32+00:00,Python,90,46,90,3,False,[],AI Robot Challenge Lab
10,"""robotics"" AND ""AI""",PacktPublishing/Artificial-Intelligence-for-Robotics,https://github.com/PacktPublishing/Artificial-Intelligence-for-Robotics,2018-09-06T09:14:37+00:00,2025-05-10T23:46:58+00:00,2023-01-30T10:18:34+00:00,Python,58,37,58,0,False,[],"Artificial Intelligence for Robotics, published by Packt"
11,"""robotics"" AND ""AI""",nplan/gym-line-follower,https://github.com/nplan/gym-line-follower,2018-11-25T20:24:15+00:00,2025-06-02T09:53:42+00:00,2021-05-20T06:58:38+00:00,Python,114,16,114,2,False,"['openai-gym', 'line-follower', 'robot', 'simulator', 'pybullet', 'reinforcement-learning']",Line follower robot simulator environment for Open AI Gym.
12,"""robotics"" AND ""AI""",voaneves/snake-on-pygame,https://github.com/voaneves/snake-on-pygame,2018-12-30T23:25:17+00:00,2025-03-21T16:08:02+00:00,2023-11-03T21:12:42+00:00,Python,12,4,12,0,False,"['snake-game', 'pygame', 'python', 'reinforcement-learning', 'artificial-intelligence', 'keras']",Snake game implemented in Pygame that can be controlled by human input and AI agents (DQN). Who's best? :snake: :robot:
13,"""robotics"" AND ""AI""",wzpan/wukong-robot,https://github.com/wzpan/wukong-robot,2019-01-16T16:19:51+00:00,2025-06-02T10:41:09+00:00,2024-10-25T08:30:25+00:00,Python,6842,1388,6842,66,False,"['ai', 'speaker', 'asr', 'tts', 'unit', 'homeassistant', 'raspeberry-pi', 'amazon-echo', 'alexa', 'snowboy', 'google-home', 'anyq', 'muse', 'bci', 'chatgpt', 'gpt3', 'openai']",🤖 wukong-robot 是一个简单、灵活、优雅的中文语音对话机器人/智能音箱项目，支持ChatGPT多轮对话能力，还可能是首个支持脑机交互的开源智能音箱项目。
14,"""robotics"" AND ""AI""",andumorie/uipath-face-recognition-framework,https://github.com/andumorie/uipath-face-recognition-framework,2019-01-21T13:25:38+00:00,2025-05-01T13:53:59+00:00,2023-04-12T10:57:49+00:00,Python,30,21,30,11,False,[],"In the UiPath Attended Robot Framework you can find a TensorFlow implementation of the face recognizer described in the paper ""FaceNet: A Unified Embedding for Face Recognition and Clustering"". The project also uses ideas from the paper ""Deep Face Recognition"" from the Visual Geometry Group at Oxford.  The framework allows you to add an extra layer of security in attended scenarios. In order to do that the robot will ask your name and to take few photos. The model gets trained based on the photos provided."
15,"""robotics"" AND ""AI""",facebookresearch/pyrobot,https://github.com/facebookresearch/pyrobot,2019-02-01T02:28:00+00:00,2025-05-30T07:37:25+00:00,2023-10-03T21:35:11+00:00,Python,2283,350,2283,55,False,[],PyRobot: An Open Source Robotics Research Platform
